Resp	V1	V2	A1	A2
1	4	17	8	13
0	8	10	11	8
0	10	3	3	8
0	2	5	10	3
1	3	7	3	14
1	16	17	19	4
1	3	6	2	19
0	7	5	3	9
0	8	7	10	18
1	16	3	8	18
1	14	6	12	4
1	14	1	10	16
1	17	7	7	4
0	13	18	7	6
1	17	15	12	13
1	2	13	16	15
1	5	7	15	17
0	7	17	13	10
1	11	5	16	12
1	1	15	13	8
1	16	3	16	1
0	8	13	7	17
1	5	8	2	10
1	1	9	6	9
1	11	11	10	15
0	3	18	9	6
0	8	17	10	1
1	2	9	14	11
0	7	4	3	18
1	4	2	4	14
0	2	11	11	6
1	5	8	9	11
0	8	14	8	12
0	13	14	15	3
0	3	18	5	6
1	4	3	13	15
1	2	5	16	3
1	9	11	2	15
1	14	2	8	13
0	6	18	16	2
0	2	12	13	6
1	12	3	14	11
1	11	4	13	14
0	10	9	2	2
0	1	16	9	2
0	11	18	17	7
1	17	6	8	10
1	12	5	17	6
1	7	2	4	5
0	4	12	8	5
0	2	7	14	14
0	16	14	8	9
1	2	1	10	10
0	1	18	18	11
0	9	10	14	3
1	7	10	6	5
1	14	2	11	16
1	1	9	14	19
1	9	2	7	17
0	3	7	8	19
1	18	18	7	15
0	12	16	19	9
1	16	1	17	13
1	15	2	6	6
1	1	1	18	14
1	7	6	18	1
1	14	11	1	16
0	10	5	2	17
1	12	11	1	17
1	17	12	3	2
1	12	8	4	7
0	5	13	12	7
0	14	15	13	9
0	2	14	6	19
1	13	7	15	14
0	2	1	12	13
1	9	9	11	17
1	11	4	13	13
0	4	10	6	18
1	7	3	18	10
1	10	6	10	13
0	6	13	3	5
0	2	18	5	16
0	2	12	15	6
0	8	5	12	9
0	5	18	12	15
1	16	11	7	11
1	5	1	9	2
1	18	12	9	4
1	1	5	9	19
1	17	4	19	7
1	7	2	15	12
1	18	18	15	6
1	14	12	16	9
1	12	2	16	17
0	10	17	4	3
1	17	12	11	9
1	14	13	11	3
1	2	4	19	11
1	18	3	6	12
1	3	3	15	10
1	17	1	7	6
1	9	8	3	3
1	17	6	14	19
1	16	4	8	7
0	5	3	3	2
1	6	6	4	2
1	18	17	16	16
1	13	3	1	9
1	9	7	10	15
1	12	12	11	5
0	3	18	18	12
1	8	12	15	1
0	2	17	3	10
1	17	6	10	3
1	12	7	15	5
1	8	6	8	17
1	16	9	1	11
1	11	1	15	11
0	13	17	6	15
1	8	5	16	1
0	1	3	2	4
0	11	18	4	13
1	11	2	18	9
0	1	9	4	9
0	5	9	19	5
1	8	18	15	2
1	11	6	13	10
1	4	5	9	2
1	7	1	4	11
1	13	11	9	12
1	13	1	19	13
0	12	17	16	17
0	4	18	7	2
1	2	1	5	19
0	13	15	17	3
0	4	17	6	8
1	3	3	6	12
0	7	16	4	1
1	9	4	12	3
1	5	6	19	1
0	6	16	4	7
0	1	2	2	17
0	7	9	17	19
0	1	2	19	6
0	14	16	16	7
0	10	12	12	14
0	7	4	1	5
1	18	12	11	19
1	12	1	2	16
1	18	3	14	16
0	7	17	6	12
1	3	1	10	2
1	8	3	19	4
0	4	14	17	12
1	15	8	1	17
0	10	17	4	15
0	7	15	10	3
0	9	18	5	15
1	2	4	16	16
0	6	16	4	11
1	17	2	13	14
0	6	6	11	6
1	17	4	11	4
1	4	2	12	19
1	2	3	4	18
1	4	5	1	14
0	1	17	13	2
1	11	6	5	2
0	2	2	3	16
1	16	5	1	7
0	3	18	9	15
1	11	4	10	15
0	15	15	12	10
0	2	14	10	17
