Resp	V1	V2	A1	A2
1	7	10	18	17
0	18	18	8	12
1	16	6	12	2
0	5	12	19	13
0	2	3	14	11
0	4	13	8	6
1	18	6	16	5
0	18	12	6	18
0	3	9	1	15
0	6	16	6	6
0	10	16	15	6
1	13	11	11	2
0	11	15	17	16
1	11	1	5	11
1	18	6	11	16
1	8	9	6	1
0	4	4	11	14
1	18	17	19	15
0	12	15	14	7
0	6	10	14	13
0	8	15	3	10
1	15	14	1	13
1	12	3	14	16
1	15	7	5	13
1	1	6	19	6
1	10	8	12	5
1	5	8	9	5
1	13	12	15	2
0	5	16	19	4
1	16	10	4	15
0	12	6	13	19
0	7	14	5	6
0	3	12	11	5
0	12	17	2	14
0	14	17	10	8
1	17	15	9	1
1	15	11	6	1
1	2	4	14	3
0	15	17	6	4
0	17	18	9	18
1	8	7	17	9
0	9	4	4	15
0	6	15	8	4
1	16	12	18	19
1	18	6	6	4
0	7	15	17	12
1	15	13	18	4
1	12	9	13	5
1	17	4	12	10
1	4	12	6	2
0	6	13	9	1
0	6	14	12	3
0	14	18	11	14
1	10	6	9	5
0	10	15	11	10
0	10	6	3	19
0	13	14	14	8
1	16	1	3	17
0	9	17	1	3
1	17	10	3	2
0	2	13	5	3
1	18	16	9	9
0	16	16	14	17
1	1	4	11	2
1	13	10	2	6
1	14	3	15	2
1	18	7	14	3
0	9	7	5	17
0	6	12	6	3
1	13	4	5	11
0	2	4	8	10
0	6	12	16	16
1	15	15	18	16
0	10	17	8	11
1	4	3	16	16
1	11	1	7	2
0	9	11	18	6
0	4	15	4	3
0	5	16	10	12
0	15	14	13	18
1	18	5	3	19
1	6	8	15	12
0	8	16	19	13
0	7	3	8	15
0	4	14	9	3
0	9	5	11	14
0	1	7	4	17
0	11	9	4	19
1	14	4	6	9
0	13	15	16	4
1	13	1	16	4
1	14	5	18	18
1	18	8	14	2
0	4	6	4	18
1	13	10	4	9
0	2	14	16	14
0	1	16	17	6
0	11	17	12	11
1	18	15	14	8
0	6	18	1	6
0	7	4	6	15
0	7	10	10	16
0	8	10	7	15
0	4	18	4	10
1	17	8	4	2
0	4	4	5	8
0	3	12	4	2
0	6	12	7	2
0	11	8	16	15
0	7	17	16	18
0	16	16	14	11
0	3	9	1	7
1	16	9	17	14
0	2	6	14	6
0	4	14	11	14
0	2	14	13	13
0	3	6	1	3
0	8	15	18	10
1	1	5	17	11
1	5	4	18	8
1	1	8	17	4
0	7	3	2	11
1	14	15	10	2
0	1	15	9	2
1	11	1	4	10
0	10	8	5	11
1	17	5	14	6
1	15	9	6	18
1	2	6	12	9
1	7	6	17	5
1	1	6	3	1
0	4	15	17	4
1	13	1	1	18
0	13	18	1	17
1	2	1	19	3
1	16	5	2	15
0	8	9	2	6
1	13	11	14	13
1	7	6	12	7
1	4	6	6	3
0	8	9	8	2
0	4	12	11	8
0	9	15	13	5
0	15	18	17	2
0	4	15	16	6
0	5	2	19	18
1	7	8	16	12
0	13	12	10	14
1	16	1	8	18
0	9	13	18	14
1	14	10	9	8
1	17	12	9	5
1	4	4	6	3
1	18	4	9	11
1	5	4	14	10
1	8	4	10	13
0	7	18	10	16
0	13	14	8	1
1	13	5	13	14
1	8	5	18	6
0	5	12	2	13
0	2	6	5	5
1	17	17	17	3
1	18	12	15	8
0	7	16	4	18
1	15	9	4	2
0	10	10	3	10
0	6	15	2	8
1	5	3	13	6
0	8	4	3	4
1	9	4	12	2
0	8	16	2	11
0	4	11	10	5
0	5	3	4	12
0	2	15	7	18
0	1	12	8	6
1	14	1	5	2
0	9	14	14	12
1	11	4	11	15
0	7	16	12	17
0	9	8	2	12
0	1	13	13	1
0	7	8	3	8
0	15	15	5	10
0	4	13	1	4
0	5	7	16	2
0	5	8	6	10
0	1	12	10	11
1	11	2	17	16
1	18	7	14	12
0	3	7	4	3
1	3	6	12	11
1	3	5	14	3
1	10	2	7	15
1	15	2	16	17
1	16	1	16	6
1	16	13	15	4
0	3	18	9	3
0	9	17	7	1
1	14	13	5	12
0	6	16	5	7
1	18	12	15	15
1	18	18	9	14
0	13	17	14	5
0	11	17	16	8
0	10	13	14	18
0	8	15	18	6
0	14	11	1	19
1	18	8	10	9
0	3	12	16	6
0	2	5	16	7
0	10	16	4	1
0	4	18	2	17
1	6	11	18	1
1	8	4	17	10
1	4	1	8	17
1	17	11	15	16
1	12	13	16	2
1	12	12	10	5
0	12	18	18	7
0	3	11	16	12
0	4	14	8	17
0	13	9	8	17
1	2	8	11	8
1	9	7	11	7
1	18	10	19	18
0	1	16	3	16
1	9	6	9	4
0	7	14	10	13
0	3	13	19	1
0	10	12	15	16
1	17	13	15	17
0	2	12	9	4
1	6	10	4	5
0	10	18	6	15
1	9	3	19	16
1	10	9	7	6
0	4	14	1	8
0	2	12	6	6
0	5	2	11	16
0	1	6	19	11
0	11	11	2	19
0	3	16	7	19
0	1	18	6	4
0	8	6	19	16
1	12	5	16	10
0	7	16	17	4
1	17	8	19	3
1	12	5	16	3
1	16	3	18	14
0	7	15	2	13
1	18	11	5	13
0	8	3	4	5
1	15	6	14	17
1	11	3	11	10
1	5	2	13	9
1	9	6	15	6
1	18	7	4	4
0	4	8	18	15
1	16	10	5	8
0	2	12	13	12
0	11	13	3	11
1	3	8	10	11
1	16	2	12	10
1	16	6	18	5
0	10	8	10	10
0	10	6	3	16
1	15	5	16	7
0	2	13	2	15
1	16	1	19	1
0	11	14	19	4
1	10	1	19	9
0	3	6	12	8
1	13	6	3	17
0	1	7	4	5
1	2	4	17	13
1	13	12	10	15
1	11	2	4	16
0	6	16	14	13
0	14	12	2	8
1	13	10	1	12
0	3	12	16	11
0	1	8	7	13
0	2	4	3	2
1	12	9	1	17
0	5	18	10	14
0	2	17	14	10
1	7	6	16	5
1	18	6	1	8
0	17	17	6	5
0	12	14	14	10
1	18	9	16	8
0	2	10	15	2
0	2	17	18	1
0	10	2	16	18
0	3	11	1	16
1	3	2	15	10
0	12	13	15	19
1	16	10	9	5
1	3	4	17	2
