Resp	V1	V2	A1	A2
0	14	4	19	13
0	11	6	11	8
1	8	18	14	2
1	4	10	1	10
0	6	6	14	8
1	3	2	9	13
1	3	10	11	14
1	8	15	1	2
0	16	10	13	19
0	1	9	19	10
1	12	13	16	7
0	2	9	4	2
0	14	16	16	13
0	8	5	13	6
1	14	16	12	14
0	17	9	11	5
0	6	5	1	1
0	6	2	13	16
1	13	16	19	12
1	12	15	17	15
0	5	5	2	4
0	3	9	4	13
1	13	12	4	12
1	9	14	9	15
1	8	12	2	12
1	2	10	13	5
1	7	13	8	12
0	18	9	8	12
1	2	18	6	17
0	4	4	2	3
1	3	15	13	10
1	4	15	2	8
0	6	13	3	7
0	2	2	2	13
0	13	3	12	6
0	10	3	10	19
1	13	10	9	9
0	6	6	7	15
0	3	15	1	4
0	10	8	16	13
1	3	16	9	15
0	16	8	10	8
0	16	2	13	14
1	5	13	18	12
1	6	17	1	13
0	12	3	10	1
1	15	16	6	8
0	7	12	18	6
1	1	8	5	4
0	18	14	18	1
0	16	17	6	3
0	10	13	15	7
0	16	6	10	16
0	13	9	7	12
0	15	1	10	4
0	11	10	7	5
1	10	17	2	10
0	11	9	2	10
0	5	7	6	16
0	16	14	18	9
0	4	9	10	5
0	12	13	17	12
0	13	2	16	14
1	1	11	19	6
0	13	14	7	4
0	14	17	18	1
1	4	11	17	6
0	17	16	8	4
0	16	7	3	19
0	14	15	1	17
0	16	8	5	8
0	14	9	15	2
0	16	5	8	11
1	6	16	18	18
0	12	5	11	4
1	8	9	4	14
1	14	18	11	10
0	15	4	6	16
0	9	2	12	3
0	8	7	17	2
1	3	8	11	18
0	12	11	14	13
0	15	15	14	5
0	9	3	12	4
1	12	7	3	15
0	5	9	5	5
0	6	1	14	10
0	18	4	13	9
0	17	5	4	5
0	10	6	10	13
0	3	1	6	5
0	18	14	3	3
0	11	5	14	6
1	11	17	3	6
0	18	1	2	5
1	6	15	16	2
0	1	5	2	18
1	4	18	14	1
1	6	15	17	15
0	16	7	10	13
1	5	3	4	18
0	11	8	4	3
0	10	4	10	19
1	2	10	12	16
1	10	1	7	19
1	3	8	8	12
1	9	12	4	15
0	18	12	17	19
1	5	3	5	4
1	4	15	11	14
0	15	9	15	11
0	12	14	1	5
0	1	6	17	7
0	10	8	2	7
1	13	12	14	19
0	12	11	17	9
0	18	2	4	12
1	7	16	13	6
0	12	3	12	13
0	5	1	7	9
1	7	2	3	19
1	5	9	2	17
1	7	17	11	14
0	4	4	16	5
1	13	11	6	17
0	10	3	6	6
1	11	13	12	11
1	14	14	14	13
1	18	18	3	14
0	12	13	5	8
0	14	1	9	16
0	12	11	4	18
0	8	4	7	12
1	3	1	9	18
1	7	15	2	3
0	16	5	19	2
1	9	9	16	7
0	15	15	3	6
1	4	13	18	1
0	9	2	3	18
1	17	15	12	16
0	12	11	6	3
0	18	8	11	12
0	5	1	16	1
0	9	4	16	9
0	2	2	13	16
0	12	12	18	14
1	6	5	7	16
0	13	10	14	2
1	1	12	8	7
0	11	7	17	13
0	11	10	17	4
1	7	17	12	5
1	8	4	6	15
1	7	16	8	13
0	12	11	3	9
0	12	4	10	11
0	16	16	11	1
0	13	1	6	11
1	5	18	10	18
1	7	17	14	5
1	2	5	16	19
0	12	13	12	2
0	8	3	18	6
0	13	6	19	13
0	12	6	9	6
1	18	17	5	14
0	1	1	18	16
0	15	10	1	10
1	10	8	1	19
0	18	5	18	7
1	1	15	8	18
0	16	4	4	14
0	15	5	10	4
0	12	2	8	1
1	3	9	17	8
1	1	14	7	15
0	12	17	17	4
0	18	16	2	6
1	12	18	2	15
1	15	18	1	2
0	3	7	14	1
0	18	1	3	6
0	3	6	12	2
0	17	6	9	15
1	10	2	12	4
0	4	6	16	13
1	2	13	2	1
0	13	10	9	10
0	6	15	2	4
1	14	16	15	19
1	15	12	2	15
0	10	14	11	6
1	8	15	10	12
0	9	11	12	4
1	10	14	17	12
1	9	17	11	7
0	11	5	16	5
1	18	15	12	14
0	8	1	10	7
