Resp	V1	V2	A1	A2
1	11	11	15	1
1	11	15	16	6
1	7	4	15	15
1	5	6	10	16
0	10	17	9	10
1	2	8	12	9
0	9	16	10	13
1	3	2	13	8
0	3	5	11	14
1	5	5	18	14
1	14	16	12	5
0	8	9	7	14
1	9	14	18	4
1	13	4	8	12
0	17	17	5	9
0	13	12	5	6
0	10	17	6	18
1	14	2	17	1
1	15	10	7	4
0	5	16	8	16
1	16	2	17	4
0	2	12	9	13
0	6	15	6	11
1	10	7	16	2
0	1	3	2	9
0	5	18	16	9
0	11	10	3	12
0	7	10	6	10
0	3	13	4	18
1	15	6	3	18
0	3	18	11	19
0	5	4	4	7
1	16	3	5	6
1	17	2	5	7
1	12	4	3	8
0	9	14	9	5
1	13	4	19	15
0	10	13	3	16
0	4	14	13	12
1	15	7	7	18
0	4	7	9	12
1	8	13	9	5
0	9	16	4	15
0	11	15	13	2
1	16	2	2	3
0	4	9	13	4
0	8	11	6	19
1	14	5	7	15
1	14	1	14	9
0	7	8	12	17
0	2	1	4	6
0	9	18	10	1
0	5	2	9	19
1	16	16	14	15
1	17	18	14	11
1	4	4	19	15
0	1	18	15	1
0	11	13	14	11
0	1	1	1	18
1	2	5	18	12
0	1	5	12	18
0	13	16	1	16
0	3	15	16	14
1	12	7	6	1
0	5	3	13	17
1	8	4	3	10
0	11	11	8	15
0	1	15	14	16
0	3	13	8	16
1	14	5	19	15
1	14	2	17	6
0	4	11	19	6
1	11	1	14	3
1	17	11	6	16
1	13	2	4	9
0	15	12	14	18
0	6	11	14	1
1	18	2	15	12
0	3	12	15	15
0	5	16	15	9
0	14	16	12	13
0	11	12	1	13
1	12	4	4	4
0	14	17	8	8
0	4	9	3	6
0	14	14	6	15
0	8	14	4	3
1	17	1	8	16
1	9	2	19	18
0	6	6	7	13
0	2	8	19	16
0	5	6	2	13
0	2	12	1	9
0	6	18	11	10
1	4	2	16	13
0	10	13	15	2
1	11	1	9	8
0	5	14	13	16
0	14	14	17	18
1	11	8	14	15
0	3	15	12	15
1	15	1	17	4
1	17	9	8	5
0	15	13	8	15
0	1	9	9	18
1	14	15	9	6
1	1	6	18	6
1	18	14	1	3
1	4	1	7	7
0	5	15	12	8
1	13	2	14	16
0	1	14	9	5
1	7	5	15	10
1	8	8	17	4
0	15	16	6	10
1	15	1	12	9
1	13	10	11	13
1	6	6	15	2
0	16	18	9	3
0	7	13	3	4
0	1	14	1	19
0	2	17	17	3
1	17	3	19	7
1	12	5	9	6
0	1	8	3	19
1	16	2	13	18
0	11	8	4	6
0	18	17	5	13
1	3	5	18	19
0	3	4	8	18
1	15	6	16	9
1	15	4	6	11
0	16	18	10	13
1	11	4	17	3
1	6	5	18	3
0	4	7	4	2
1	7	8	16	1
0	1	5	19	11
0	12	15	7	14
1	18	4	19	16
0	1	14	11	1
0	11	17	4	11
0	8	15	9	10
0	10	12	8	17
1	16	2	2	8
1	16	15	11	1
1	15	5	15	14
1	15	9	7	8
1	3	9	6	1
1	11	4	11	19
1	18	12	15	9
0	9	18	2	11
0	8	12	10	18
0	2	17	3	10
0	18	14	1	15
0	2	10	17	3
1	16	4	17	2
0	1	18	1	18
1	18	10	14	18
0	10	14	4	5
1	18	18	14	1
0	10	14	13	19
0	6	4	1	5
0	1	18	16	6
0	3	9	10	12
1	16	1	5	3
0	9	11	1	16
0	16	14	5	19
1	9	2	15	3
1	15	6	5	12
1	6	3	19	5
1	18	17	6	3
0	5	17	6	12
1	11	9	19	6
0	7	4	4	18
0	1	5	8	18
0	16	15	7	12
1	18	15	18	11
0	12	17	19	12
1	8	1	17	9
0	10	15	14	3
1	18	9	10	18
1	18	1	9	7
0	2	18	4	2
1	8	9	9	6
0	17	11	7	14
0	11	6	7	18
0	12	18	6	15
0	6	18	19	9
0	17	11	3	13
1	1	8	11	9
1	13	15	10	1
1	3	4	14	6
0	8	15	5	18
0	5	4	11	12
0	5	14	17	8
1	8	9	6	19
0	5	9	2	15
0	15	11	5	8
1	16	1	6	2
0	11	14	3	8
0	7	15	12	8
0	17	8	3	14
0	5	15	16	14
0	17	14	17	17
0	1	17	8	3
1	14	5	14	17
1	14	2	18	5
0	6	12	19	18
0	13	16	4	10
1	13	6	16	12
