Resp	V1	V2	A1	A2
0	1	3	16	13
0	10	14	7	3
0	17	1	14	11
0	12	3	18	8
1	16	8	9	19
1	4	11	12	14
1	15	15	11	18
0	5	1	7	6
0	13	8	10	5
1	1	16	11	1
0	12	17	18	1
1	8	15	19	11
0	18	6	2	1
0	1	1	9	6
1	14	16	4	4
1	12	11	10	17
1	6	11	13	13
1	12	16	12	9
1	4	16	10	11
1	4	2	5	15
1	9	16	15	17
0	7	8	12	5
0	2	10	6	6
0	11	4	12	2
0	5	4	19	12
1	9	9	6	1
1	9	4	11	13
1	14	9	2	18
0	2	12	17	1
0	17	6	16	5
0	8	1	18	16
0	6	9	7	5
0	14	10	16	6
1	5	16	4	12
0	4	4	11	14
1	14	13	8	9
0	7	5	9	11
0	12	5	5	1
1	6	7	9	18
1	3	14	13	17
1	5	4	2	4
0	4	4	9	17
0	9	14	12	3
1	6	12	7	18
1	10	14	3	19
0	15	2	3	5
0	14	16	2	12
0	8	13	5	6
1	4	1	15	10
0	16	1	4	3
1	2	7	1	10
0	2	6	15	10
1	6	17	1	12
1	1	11	9	9
0	6	4	8	8
0	2	1	7	6
1	13	3	4	18
1	16	9	1	19
0	9	2	14	15
1	4	14	10	8
1	2	9	8	17
1	13	14	14	16
1	4	10	4	18
0	18	16	5	7
1	4	5	3	15
0	9	3	6	2
1	3	15	8	19
1	11	18	10	9
0	17	7	10	2
1	3	13	19	2
0	15	16	18	5
0	8	3	11	17
0	6	18	15	3
1	3	7	1	7
0	10	7	11	6
0	8	7	16	5
1	4	4	4	17
0	3	14	17	3
1	10	3	2	10
1	11	14	8	19
1	12	14	12	11
1	14	12	6	9
0	10	10	16	3
0	6	10	16	2
0	18	1	2	9
0	13	6	4	10
1	12	17	16	14
0	15	12	5	1
0	10	15	10	1
1	5	5	9	5
1	2	17	14	8
0	5	7	19	3
1	9	1	7	5
0	13	6	3	12
1	13	18	19	3
1	12	14	9	4
1	2	5	5	19
1	10	16	19	15
0	15	7	6	15
0	10	11	14	5
1	12	10	10	14
0	16	8	7	8
0	14	6	17	8
0	10	10	18	14
1	6	12	10	10
1	18	18	14	17
0	17	5	10	14
1	6	13	8	13
0	16	4	10	17
1	17	11	6	16
1	13	15	3	12
0	5	1	17	5
0	14	2	16	13
1	13	13	11	19
0	9	11	19	3
1	12	6	1	19
0	15	4	4	16
0	18	11	13	3
0	8	1	19	2
1	12	1	6	17
0	11	12	5	8
1	9	18	10	4
1	1	12	8	7
1	14	17	3	18
1	14	15	3	12
0	3	8	14	6
0	16	12	3	11
0	17	7	6	16
1	9	6	7	14
1	11	17	3	13
1	14	9	5	14
0	8	9	8	12
1	6	15	9	17
1	2	15	14	13
0	15	13	10	4
0	1	14	13	3
1	8	12	11	16
1	9	8	6	11
0	18	5	14	6
1	1	6	10	7
0	18	4	19	8
0	15	4	8	6
1	11	14	9	19
1	1	15	12	14
1	3	14	6	12
1	8	6	13	17
1	15	1	4	10
1	9	12	12	16
0	15	11	12	2
1	2	6	9	16
1	11	6	14	14
1	12	18	5	8
0	5	11	19	5
1	3	14	8	2
1	2	15	12	16
1	13	5	6	14
0	16	11	13	13
0	3	16	16	4
1	18	9	4	9
1	2	14	9	14
0	13	1	3	9
0	11	15	13	10
0	17	5	13	8
0	12	7	15	8
0	2	6	14	10
0	13	16	12	3
1	4	16	8	14
0	18	6	18	13
0	14	16	10	4
1	14	1	5	18
0	18	15	18	19
0	18	18	18	2
0	7	1	14	13
1	9	8	5	4
1	13	1	1	13
0	9	18	15	2
1	11	12	8	19
0	10	13	11	1
1	6	17	3	15
1	1	14	18	16
0	18	7	9	14
1	4	17	2	5
0	17	9	15	10
0	11	10	18	9
0	5	7	13	12
0	5	9	14	16
1	15	4	6	19
0	3	3	17	1
0	12	11	14	11
0	2	7	17	11
1	5	5	9	8
1	8	4	10	10
0	16	6	17	12
0	13	5	11	8
0	5	12	17	6
1	5	17	4	7
0	12	4	11	11
1	2	16	18	2
1	13	16	7	11
0	16	9	16	14
1	16	8	1	3
1	10	4	9	15
1	15	17	1	14
0	18	6	2	5
0	2	14	19	4
0	15	1	17	4
1	17	12	19	17
0	15	4	2	7
1	3	13	16	3
1	4	16	14	16
1	2	18	14	10
0	18	4	15	12
0	17	5	7	6
1	8	11	2	6
0	5	11	14	17
0	3	5	8	11
1	15	7	3	12
0	1	12	6	3
0	16	18	9	1
1	3	3	8	13
1	18	15	13	19
1	4	11	2	14
1	15	16	14	17
1	16	15	11	19
0	18	2	3	10
1	1	7	13	12
1	17	15	18	12
0	13	4	5	4
1	6	13	4	9
1	6	3	3	16
0	9	12	17	8
1	14	2	6	11
0	7	18	8	4
1	5	11	7	12
1	7	5	3	15
1	4	15	16	19
0	1	1	8	9
1	15	11	11	14
1	7	10	13	16
1	1	9	4	10
0	6	3	11	6
0	1	3	17	6
0	9	1	9	12
0	11	3	10	9
1	14	12	17	15
0	6	15	17	1
0	16	6	15	15
1	18	16	6	17
1	16	3	1	19
1	6	14	13	3
0	4	2	9	19
1	1	11	2	9
1	5	8	8	17
0	8	2	7	3
1	9	17	9	5
0	8	1	5	14
1	6	17	19	9
0	15	11	19	11
1	15	1	3	1
0	2	1	7	13
1	2	5	16	11
1	3	18	16	4
1	1	17	14	11
0	18	2	6	8
0	9	4	10	9
0	4	3	15	3
1	3	14	19	4
1	4	18	11	3
0	3	3	18	7
1	2	18	9	18
1	9	7	14	17
0	16	14	19	1
1	7	13	10	12
0	15	14	15	4
0	9	15	19	7
0	17	1	7	7
0	6	1	19	4
0	7	5	14	13
0	2	10	15	8
0	1	7	10	4
1	1	16	7	8
0	1	6	7	1
1	4	18	10	11
1	5	1	8	12
0	6	5	13	7
0	10	10	6	7
0	16	3	19	1
0	5	1	14	15
0	16	12	9	13
1	6	13	2	9
0	15	1	14	14
1	3	15	12	4
0	13	9	5	14
1	7	15	12	11
0	11	4	18	19
0	8	2	17	11
1	3	15	5	19
0	13	4	16	15
1	3	16	6	12
1	4	7	7	6
