Resp	V1	V2	A1	A2
0	6	8	10	12
1	9	18	10	12
0	14	1	13	4
1	5	18	9	11
0	18	15	17	3
1	14	15	19	12
1	18	11	6	15
0	14	3	10	17
1	16	12	1	16
1	18	16	8	11
0	18	4	8	15
0	18	18	17	13
0	14	12	18	5
0	3	3	6	4
0	5	6	13	7
1	16	13	8	5
1	14	3	3	17
1	3	11	11	18
1	4	7	6	12
1	14	7	1	17
0	12	4	11	14
0	12	4	19	8
0	16	13	4	3
0	13	1	19	7
1	5	15	2	2
0	11	3	14	13
1	12	9	5	12
1	13	16	1	14
1	14	16	14	14
1	2	13	10	9
0	13	4	19	2
1	2	5	4	18
1	15	18	5	6
1	5	13	15	17
1	4	1	14	19
0	15	15	12	17
0	13	17	18	12
1	15	10	2	16
0	17	17	9	17
0	7	11	13	3
1	8	12	12	7
1	5	15	16	16
1	6	11	14	12
0	9	6	11	8
0	7	11	11	6
1	8	16	12	5
1	17	7	8	14
1	3	16	15	2
1	2	12	11	11
0	11	2	7	7
0	5	16	19	7
0	12	16	10	3
0	8	5	17	16
1	5	9	6	17
0	12	5	2	7
1	1	8	6	7
1	11	17	7	6
0	9	5	4	14
0	4	9	5	5
1	11	12	13	18
0	18	5	12	10
1	7	16	1	19
0	5	15	12	6
0	16	8	7	5
1	15	13	17	2
0	17	6	14	6
0	9	10	8	4
0	9	11	11	3
1	9	11	13	11
0	12	10	17	1
1	9	10	10	12
0	6	4	8	9
0	17	13	8	11
1	14	17	10	7
0	6	16	16	3
0	11	13	15	14
0	6	4	15	7
0	3	13	16	8
0	7	11	10	13
0	3	10	15	10
1	3	16	1	5
1	16	14	10	14
1	5	10	5	12
1	1	3	1	10
0	16	15	11	6
1	1	6	6	14
0	5	8	19	7
1	3	14	8	4
1	10	13	2	11
1	15	18	6	12
1	8	14	8	12
1	11	15	14	17
1	4	14	1	16
0	10	11	14	6
0	3	4	7	2
0	14	17	14	6
0	1	15	8	14
0	17	6	7	12
0	12	5	17	8
0	17	5	15	9
0	5	1	7	12
0	9	3	7	1
1	9	4	8	15
1	11	12	1	14
0	7	11	18	3
0	16	7	4	9
1	11	14	1	17
1	1	11	4	15
0	16	2	14	11
0	12	17	8	6
1	6	5	10	14
1	11	10	1	7
1	8	16	2	11
0	8	15	10	5
1	5	14	9	10
0	16	9	7	6
0	6	6	13	4
0	2	6	2	12
1	8	6	6	13
1	4	14	9	8
1	6	10	15	8
0	7	3	7	9
0	10	9	9	9
1	7	8	19	18
1	8	4	2	17
0	9	6	11	6
0	4	17	14	1
0	12	10	7	11
1	8	11	14	17
1	1	5	3	2
0	2	10	18	14
1	1	12	5	4
0	18	16	11	1
0	11	9	18	19
1	7	13	11	6
0	5	7	13	12
1	2	12	6	6
0	13	10	17	1
1	3	6	11	15
0	16	2	18	15
1	16	13	5	16
0	1	3	12	10
1	14	15	1	4
0	7	14	19	4
1	18	16	9	18
0	15	5	5	11
0	7	8	13	14
1	1	11	1	3
0	13	11	8	5
1	1	8	9	6
1	1	2	18	2
0	14	15	19	5
0	7	18	11	3
1	15	15	2	18
0	9	9	14	6
0	6	4	2	1
0	12	7	18	4
0	14	10	13	8
0	8	10	15	3
0	1	1	4	1
1	3	8	4	4
0	3	15	14	3
1	9	1	9	17
1	3	12	3	2
0	6	7	15	8
1	18	13	4	19
0	18	5	13	17
0	13	4	7	6
0	7	14	10	3
0	11	7	6	6
0	5	8	11	6
1	9	17	8	7
0	16	2	9	16
0	2	4	15	14
1	2	18	6	7
0	16	10	17	16
0	17	6	17	5
0	3	1	13	14
0	7	10	15	15
0	11	17	9	12
1	13	3	4	15
1	4	5	1	19
0	6	2	13	14
0	14	4	18	13
0	5	2	14	11
1	14	3	9	17
1	16	6	1	15
0	9	6	15	4
1	18	13	17	12
1	1	10	1	5
0	14	7	7	8
1	4	17	1	19
1	8	13	14	11
0	14	4	18	1
0	5	2	10	8
0	9	14	19	7
0	12	6	16	6
0	15	4	14	16
1	8	9	3	16
0	13	7	17	4
1	15	15	14	15
0	16	4	10	2
0	18	7	14	17
0	16	3	17	16
0	17	2	3	3
0	15	5	7	2
0	18	10	8	1
0	12	5	16	19
0	17	2	15	7
0	6	14	12	4
0	9	4	6	7
0	13	8	19	15
1	8	15	14	19
0	13	13	13	14
0	18	8	9	10
0	12	14	7	16
0	15	7	7	11
1	10	16	12	16
0	18	14	11	5
0	9	10	16	12
1	6	2	8	18
0	15	1	14	1
0	13	6	4	3
0	11	4	12	2
1	18	17	16	14
0	12	10	13	5
0	14	1	14	1
0	13	4	18	9
0	4	4	18	8
0	10	4	4	7
1	2	17	1	8
1	9	14	5	19
1	2	16	15	17
0	16	12	9	1
1	11	17	8	15
1	4	8	6	7
1	8	17	6	13
0	16	1	6	10
1	2	14	9	14
0	10	6	19	16
0	12	18	13	8
0	17	7	13	1
0	5	18	19	4
0	3	3	7	2
0	15	6	7	6
0	15	10	16	5
1	12	1	5	11
1	8	10	8	15
0	5	4	11	3
0	14	16	12	5
1	8	11	1	18
0	3	2	16	15
0	17	15	9	4
0	13	2	1	2
0	3	8	11	4
1	6	5	13	19
1	10	8	6	7
1	17	2	9	19
1	4	12	4	16
1	17	18	2	5
1	6	2	12	12
0	16	12	8	15
1	3	13	6	15
1	16	11	4	11
1	6	14	11	17
0	13	7	1	5
0	13	17	6	9
0	2	5	2	8
0	16	11	2	1
0	3	10	15	9
0	5	12	19	14
0	10	14	7	6
0	4	8	19	7
0	12	3	12	10
0	4	5	1	7
1	7	1	15	16
1	8	18	7	6
0	11	14	11	2
1	14	6	15	15
0	18	6	15	5
0	14	1	7	14
1	7	3	12	1
0	13	4	5	5
1	9	7	10	17
0	14	4	4	18
0	13	9	11	15
1	16	16	16	1
0	2	11	4	1
0	13	14	10	3
0	17	18	17	1
1	15	13	9	12
1	5	1	1	15
1	12	15	1	4
0	14	3	15	14
0	10	11	8	1
0	6	1	14	14
0	15	12	19	1
1	1	17	4	2
1	17	6	9	18
0	8	3	3	10
