Resp	V1	V2	A1	A2
0	2	17	6	9
1	5	7	18	6
1	9	9	4	3
0	15	3	5	9
1	14	7	15	5
1	5	10	11	5
1	14	9	12	8
1	11	7	10	4
0	13	1	7	19
1	7	14	13	18
0	4	5	6	3
1	7	7	14	11
1	3	9	6	1
1	1	4	12	11
1	13	12	16	6
0	6	7	8	18
1	13	5	13	4
1	13	1	4	7
0	8	17	4	19
1	14	4	17	2
0	1	7	5	13
1	16	9	7	10
1	9	8	18	6
0	14	14	4	18
0	13	3	4	15
0	6	12	8	16
1	11	5	12	8
1	3	8	11	7
0	18	15	8	17
0	14	16	18	8
0	1	9	8	18
1	2	11	10	5
1	6	1	7	5
0	7	11	6	19
1	11	7	19	1
1	16	9	19	16
0	1	8	2	19
0	17	7	3	4
1	1	7	17	14
1	15	5	16	3
1	13	1	11	3
1	1	18	11	1
0	1	17	13	18
1	1	14	9	12
1	18	12	18	19
1	3	17	8	9
0	5	16	11	15
0	12	9	6	3
1	4	7	14	10
1	9	1	15	8
0	1	2	9	19
0	12	13	8	14
1	12	12	17	1
0	10	6	6	15
0	6	3	6	17
1	11	18	12	8
1	14	14	11	2
1	9	9	13	5
1	14	14	15	18
0	13	12	1	15
1	6	18	13	11
0	7	13	3	12
0	4	1	10	9
1	14	11	15	13
0	7	2	7	15
0	13	9	4	11
0	9	4	9	13
1	15	10	18	14
0	7	15	5	4
0	3	13	8	4
0	14	15	6	13
0	14	15	15	18
1	15	11	11	4
0	14	4	3	9
0	4	6	3	14
0	13	3	5	15
1	2	1	19	16
1	13	15	19	11
1	10	4	18	5
0	5	15	8	7
1	17	5	6	2
1	13	17	7	8
1	18	3	16	4
1	4	16	11	6
0	7	18	5	9
1	7	3	14	6
1	12	17	12	1
1	9	18	5	3
0	9	16	7	17
0	14	15	10	5
0	16	13	7	13
1	15	17	12	4
1	14	15	19	7
0	11	17	11	11
1	15	10	15	4
1	1	18	9	8
1	8	9	18	19
1	17	11	18	2
0	7	3	12	7
1	16	4	18	16
1	13	11	1	15
0	13	14	6	7
0	11	15	13	14
1	7	17	17	10
0	7	10	14	19
0	12	14	3	13
0	17	9	2	6
1	8	12	19	4
1	8	3	14	7
0	17	5	15	16
0	10	9	6	12
0	9	4	5	19
1	11	17	15	5
1	11	2	16	5
1	13	15	17	12
1	11	3	17	6
0	6	18	6	3
0	3	17	1	16
0	18	17	1	7
1	6	2	6	1
0	16	18	8	3
1	8	9	17	14
0	14	18	6	17
1	18	9	11	3
1	11	10	16	10
1	8	12	3	4
0	3	3	9	18
1	4	3	18	11
0	8	1	16	13
1	8	15	16	9
1	5	18	6	8
1	13	5	16	15
0	18	3	9	19
1	5	16	19	13
1	14	8	9	3
1	1	3	13	4
1	8	9	3	11
0	15	18	1	1
0	1	10	10	19
0	12	17	6	9
1	4	11	5	12
0	1	10	5	13
