Resp	V1	V2	A1	A2
0	9	8	7	5
0	2	15	17	9
1	9	11	12	15
1	5	18	16	17
0	15	17	14	12
1	16	5	5	16
0	5	8	16	11
0	8	7	7	2
1	8	9	1	16
0	12	1	14	14
0	11	10	17	1
0	10	15	13	4
1	5	12	2	11
0	17	13	8	8
0	4	1	14	5
0	18	10	4	14
1	8	16	12	9
1	14	13	3	4
1	6	16	7	10
1	18	8	3	19
0	11	15	15	5
1	18	14	7	12
0	12	8	6	1
1	13	14	11	6
1	2	5	4	11
1	10	18	14	15
0	15	10	12	5
0	2	13	12	2
1	3	16	5	12
0	3	10	17	6
1	8	12	9	10
1	4	15	15	9
0	8	4	17	5
0	15	6	9	13
1	5	15	4	10
1	11	7	14	19
0	5	5	17	8
0	5	11	14	4
0	15	1	18	1
1	11	13	4	10
1	18	15	9	8
1	9	15	10	17
1	5	15	9	10
0	17	8	17	18
0	5	9	11	13
1	3	14	11	7
1	1	17	4	13
0	11	6	6	12
1	17	17	12	13
0	4	18	18	2
0	11	4	10	8
0	6	6	6	4
0	9	7	19	2
1	12	16	12	17
1	15	17	2	3
0	17	3	2	18
0	17	1	1	13
1	2	5	6	13
1	7	11	13	19
1	9	8	2	4
0	3	13	15	11
0	5	17	16	6
0	15	4	16	11
0	7	4	17	11
0	17	12	19	19
0	5	18	14	4
0	17	1	5	9
0	5	7	11	8
1	17	10	13	16
1	5	2	3	14
0	10	4	11	10
1	14	7	4	17
1	3	14	3	14
0	13	8	6	1
1	15	15	14	15
1	8	6	8	17
1	17	18	16	18
1	9	14	6	8
0	3	3	10	5
0	18	18	12	2
1	14	14	4	8
1	7	18	5	1
0	11	8	19	2
1	5	9	16	9
0	3	10	13	2
1	15	4	2	15
0	14	14	18	4
1	5	4	6	8
0	9	11	16	2
0	1	10	18	2
1	12	10	1	7
0	16	7	9	1
0	16	11	17	15
1	5	15	19	8
0	10	9	7	10
0	18	15	18	1
0	15	4	4	6
1	5	7	1	14
1	5	11	11	11
1	11	13	12	8
1	3	8	13	18
1	9	18	5	5
1	13	9	5	19
1	6	4	1	7
1	14	17	3	17
0	18	2	7	4
1	15	9	10	18
0	11	2	16	7
0	11	11	9	10
0	1	2	3	2
0	16	10	2	13
1	15	16	11	9
1	9	11	8	14
0	9	2	19	1
1	7	1	2	3
0	5	6	7	4
1	18	13	6	12
1	4	10	4	19
1	3	17	8	8
0	16	1	1	12
0	18	2	10	6
1	13	17	2	14
0	15	18	11	7
1	16	14	2	11
0	18	12	7	4
1	11	18	5	2
0	1	18	17	2
1	1	10	6	8
1	15	14	8	19
0	15	13	8	9
1	17	16	7	13
1	16	15	11	9
1	14	14	17	16
0	18	16	11	8
0	3	4	8	4
0	2	2	8	2
1	13	13	2	11
0	18	7	16	4
1	15	8	6	15
0	13	6	13	16
0	17	7	18	14
1	7	3	9	18
0	8	5	16	5
0	11	11	16	12
0	4	2	14	5
1	14	12	7	5
1	11	14	14	11
0	1	7	1	5
1	4	8	8	13
1	10	14	10	19
0	6	11	15	8
1	4	17	7	12
0	14	4	17	7
1	4	6	12	13
1	5	8	4	17
0	12	13	16	11
1	14	9	9	18
0	4	7	9	4
0	18	16	16	10
0	2	5	12	9
0	16	12	1	2
1	17	4	5	16
0	11	1	5	2
1	5	2	2	18
1	7	6	4	10
1	7	11	7	10
1	11	18	17	19
0	5	14	7	2
1	3	10	1	6
1	3	7	1	6
1	2	16	1	17
0	17	14	18	13
0	18	9	18	8
0	13	8	4	4
0	16	9	3	13
1	10	13	16	19
0	17	11	7	6
1	18	16	6	18
0	6	4	15	5
1	1	17	12	8
0	10	9	13	15
1	4	10	13	6
1	15	2	2	12
1	2	12	19	13
1	13	13	6	8
1	6	12	11	11
0	9	7	4	10
1	9	12	9	15
0	18	8	7	3
0	3	6	17	14
0	14	2	8	8
0	18	15	2	11
0	15	14	15	7
1	5	17	1	15
1	17	7	12	19
1	1	10	4	17
0	6	15	19	1
1	4	11	6	9
1	13	14	17	16
0	9	11	19	7
0	17	8	3	15
1	16	15	3	8
1	3	4	18	13
1	10	13	2	3
1	15	14	15	14
0	15	11	12	8
0	3	2	14	9
0	12	4	19	2
1	14	9	6	18
1	1	1	9	8
0	6	13	13	3
0	17	4	13	15
1	9	13	10	19
0	12	1	13	10
0	14	9	6	13
1	6	14	2	13
0	9	8	19	1
1	2	13	19	18
0	17	14	19	17
0	15	5	19	1
1	5	13	2	4
0	5	8	19	9
0	14	3	14	15
1	2	18	11	5
1	9	11	9	18
1	8	13	13	17
0	11	2	14	18
0	13	15	6	8
1	2	8	6	8
1	12	10	9	15
1	1	18	3	3
1	17	17	3	5
0	9	1	18	14
0	14	1	14	2
0	13	6	14	12
1	17	17	8	15
1	6	17	7	18
0	6	4	16	6
1	12	16	4	18
1	3	18	2	16
1	9	18	11	3
0	18	10	8	3
0	11	3	4	8
1	16	11	9	16
1	1	11	1	7
0	7	13	19	9
1	5	4	8	13
0	15	9	18	4
1	5	7	5	11
0	18	2	2	13
0	17	18	4	2
1	6	12	10	19
1	1	15	8	6
0	13	2	8	5
0	10	4	6	12
1	3	13	19	16
1	7	17	13	17
0	5	3	19	2
0	11	4	14	1
1	16	17	5	19
1	4	2	9	15
0	16	2	16	6
1	1	5	17	19
0	18	12	16	11
0	15	15	17	12
0	2	9	15	5
0	15	3	12	9
1	8	5	1	16
1	5	3	7	7
1	6	15	14	1
1	9	14	12	9
0	12	2	10	8
0	7	12	14	6
0	17	3	19	4
1	5	18	15	10
1	6	15	2	6
0	10	8	19	14
0	7	4	14	9
0	13	1	11	11
1	10	1	11	15
1	16	16	2	12
0	18	4	11	9
1	10	7	4	13
0	2	1	12	11
1	5	15	17	2
1	1	12	3	14
0	18	13	14	14
1	2	15	14	5
0	14	6	4	10
0	11	5	18	15
0	4	3	17	7
0	14	10	3	13
0	8	5	16	9
0	11	5	18	14
1	5	4	3	8
1	4	5	6	15
0	18	8	1	18
1	8	16	3	13
0	15	2	11	9
0	17	11	11	9
