Resp	V1	V2	A1	A2
1	11	10	14	19
1	9	3	5	1
0	10	10	10	1
1	4	3	8	12
1	10	17	15	19
0	17	2	16	13
1	18	4	1	10
0	3	12	18	4
1	1	15	5	13
0	13	18	17	17
0	14	12	19	2
0	18	15	10	1
0	18	15	17	3
1	9	17	1	2
1	16	13	5	6
1	3	12	3	13
0	17	10	19	1
0	6	18	18	18
1	2	3	7	18
1	6	17	7	7
0	12	5	16	16
1	4	2	11	6
0	2	12	17	12
1	6	17	7	13
1	15	10	2	18
0	14	13	5	3
1	8	17	8	9
0	14	13	17	1
1	10	15	3	2
0	8	6	19	1
1	9	6	13	14
0	7	17	12	6
0	12	1	15	2
0	12	3	18	15
1	16	1	6	12
1	3	11	16	12
0	8	6	7	1
1	6	3	2	18
1	7	4	14	14
1	2	14	1	15
0	13	7	19	6
0	18	1	3	5
0	9	1	19	3
0	6	5	14	2
1	4	12	3	14
0	6	14	15	3
0	12	6	10	9
1	10	7	5	14
1	4	18	17	9
0	14	16	6	2
1	6	12	12	13
1	12	16	9	6
1	18	7	5	14
0	14	18	5	4
0	17	2	18	15
0	3	6	6	19
1	7	17	1	13
1	1	15	10	5
1	13	13	19	15
0	14	7	8	16
1	11	16	7	7
0	7	15	13	1
0	13	16	18	6
1	15	4	4	19
1	14	8	10	19
0	9	12	15	2
0	11	14	12	16
1	10	3	10	5
0	13	8	9	12
1	2	1	5	18
1	1	4	5	16
0	1	1	1	5
1	8	16	3	15
0	3	13	1	16
0	18	1	15	3
1	13	11	8	18
1	12	8	10	17
0	17	16	3	9
1	7	5	16	14
1	2	6	3	1
0	4	8	10	1
0	11	6	18	4
1	2	12	5	11
0	3	8	12	8
0	8	5	6	14
1	3	11	9	8
0	12	14	16	14
0	18	14	15	12
0	12	4	8	13
0	18	3	6	5
0	15	7	14	15
1	3	7	8	8
0	7	12	10	5
1	2	6	5	18
0	8	6	19	6
0	13	1	16	4
1	9	17	1	3
0	18	12	18	14
0	10	1	11	10
0	18	6	17	12
0	11	8	9	14
0	3	5	12	2
0	14	15	17	10
1	4	17	17	17
0	12	10	11	16
0	1	9	5	3
1	1	17	17	9
0	9	13	10	10
1	14	3	4	14
1	7	13	3	14
0	2	1	18	9
0	15	15	7	5
0	6	1	7	1
0	3	7	10	5
0	7	10	9	9
1	18	4	1	11
0	9	14	19	3
1	4	13	5	7
1	5	16	2	15
1	15	1	14	16
1	5	3	3	12
1	4	3	14	13
0	12	16	16	12
1	10	11	9	19
0	17	6	3	19
1	12	9	6	14
0	5	7	15	15
1	3	14	10	11
0	8	12	7	8
1	1	14	11	15
0	9	11	15	8
1	7	9	17	13
1	2	18	10	7
1	10	16	11	18
1	17	16	17	17
0	16	10	12	14
1	17	9	3	19
0	6	16	16	9
1	13	11	4	18
0	15	4	7	3
0	4	10	4	4
1	15	10	15	15
1	6	9	18	19
1	13	3	7	16
0	4	11	5	6
0	4	5	15	4
1	8	18	12	15
1	13	16	3	11
0	12	10	15	3
1	12	15	10	6
1	15	3	3	14
1	13	13	12	15
0	16	2	12	8
0	15	15	10	14
1	12	7	1	18
1	15	14	7	10
1	3	5	2	13
0	9	9	4	2
1	9	5	9	11
1	18	11	17	11
1	8	9	10	18
1	11	13	17	12
0	17	6	8	4
1	2	16	4	1
1	5	18	19	3
1	10	17	13	2
0	5	2	1	4
1	17	8	17	16
1	12	8	19	18
1	7	14	5	10
0	14	8	15	1
0	17	9	18	4
0	14	3	4	6
1	5	11	7	12
1	4	15	3	15
0	11	13	16	13
0	15	6	15	8
1	8	7	4	10
1	8	2	17	14
0	13	6	16	11
1	16	14	15	10
1	6	13	10	7
0	6	15	5	2
0	9	2	19	8
0	9	13	13	3
1	3	17	15	18
1	11	2	1	12
1	8	7	6	15
0	8	11	9	14
0	11	4	19	16
1	15	15	11	16
1	4	7	5	14
0	10	16	17	8
0	15	15	17	3
1	6	5	4	6
1	8	18	10	13
0	16	11	15	1
0	7	9	18	7
0	7	4	14	8
0	13	5	9	4
1	13	9	9	16
0	14	12	2	3
1	16	16	3	10
1	10	5	5	7
1	4	18	18	14
1	15	15	1	6
0	13	1	18	10
0	8	3	11	7
1	8	6	12	8
0	13	4	13	9
1	5	15	19	10
1	6	11	8	10
1	13	4	11	15
1	16	13	14	14
1	7	5	11	17
0	9	16	10	2
0	7	13	5	4
1	14	16	10	9
0	18	4	17	19
0	10	2	15	12
0	6	7	7	4
0	11	13	10	3
0	18	10	19	3
0	13	15	19	2
0	14	3	10	9
0	10	5	13	2
1	15	18	17	9
0	10	11	14	6
1	1	13	13	2
0	12	10	18	6
