Resp	V1	V2	A1	A2
1	12	16	1	4
0	14	13	3	1
0	16	8	14	15
1	5	5	11	19
1	7	10	5	19
1	17	17	13	19
1	1	17	3	9
1	4	11	7	15
1	8	3	9	12
1	4	12	15	15
1	5	13	7	10
1	1	11	7	17
0	17	7	11	5
1	6	2	5	11
0	17	6	15	11
1	13	1	9	17
0	14	8	11	4
1	14	14	7	19
1	6	6	11	17
0	11	2	3	13
0	6	4	11	5
1	15	16	11	8
1	10	9	7	18
1	7	3	17	9
0	3	10	8	3
0	1	4	5	5
1	2	11	5	8
1	4	16	8	5
1	11	16	8	12
1	3	14	1	10
0	16	5	13	16
0	6	10	4	1
1	12	9	1	17
0	14	6	19	11
1	1	12	5	5
0	17	3	14	13
0	7	7	18	3
1	1	16	8	2
0	13	8	18	2
1	14	18	5	19
1	7	7	4	5
0	17	13	18	8
0	16	9	11	6
1	3	11	5	7
1	16	17	15	13
1	6	2	5	8
1	10	17	3	1
1	7	9	10	12
1	5	18	19	13
0	13	3	17	8
1	10	11	5	6
1	7	7	19	12
0	16	11	5	10
1	6	18	14	10
1	10	7	8	13
0	1	10	7	10
1	4	1	13	6
1	7	2	3	13
1	3	11	2	19
1	13	14	19	18
1	5	12	5	14
1	6	2	11	15
0	14	14	18	3
0	13	2	13	1
0	6	5	9	6
0	1	18	15	6
0	17	2	7	4
1	11	17	14	12
1	6	15	8	14
1	7	1	4	5
1	7	17	13	10
0	14	2	10	9
1	9	12	15	16
1	12	3	6	15
1	3	5	3	6
1	13	4	4	17
0	14	10	12	16
0	15	3	19	6
1	2	4	15	7
0	14	4	1	3
1	16	17	4	6
1	13	16	4	12
1	6	9	14	11
0	18	11	11	7
0	17	9	13	8
1	1	13	1	15
1	8	18	15	19
0	13	18	6	10
0	2	8	16	7
0	14	11	17	2
0	5	14	16	6
0	17	15	15	14
1	3	9	14	12
1	4	18	5	4
0	15	10	19	12
1	17	11	8	7
0	2	11	17	12
1	8	11	5	16
0	16	12	17	6
1	6	15	19	15
0	14	13	5	4
1	10	17	15	3
0	7	10	9	3
0	18	1	17	8
0	6	14	11	13
1	11	17	19	12
1	4	7	11	14
0	3	10	15	1
0	10	6	6	6
0	8	7	4	5
0	2	6	8	11
0	8	5	4	4
1	7	11	14	5
0	13	6	11	3
0	3	6	1	15
0	16	6	6	1
1	13	1	16	9
1	6	3	17	7
1	16	12	3	15
1	10	9	1	14
1	11	13	13	14
1	6	9	6	10
0	4	7	9	3
0	2	3	6	12
1	6	16	19	16
0	12	9	14	4
1	16	15	6	13
1	8	16	2	9
0	12	9	6	2
0	18	1	13	5
0	14	1	10	12
1	8	13	11	4
1	12	1	10	16
1	15	6	9	16
1	9	8	1	9
0	2	2	10	8
1	3	1	6	19
1	14	9	4	7
1	7	18	13	15
1	5	8	4	3
0	7	6	18	3
1	1	2	14	8
1	9	8	16	12
1	8	12	5	10
0	18	16	1	17
1	7	17	9	2
0	17	14	14	14
0	1	2	19	13
0	5	1	12	12
1	4	16	17	14
1	7	18	5	2
0	16	18	16	14
0	15	3	15	12
1	13	13	16	19
1	9	18	5	16
1	8	17	1	19
1	3	9	17	14
0	12	1	13	19
0	12	5	10	12
1	6	11	12	6
0	15	15	7	3
1	13	13	15	19
0	12	9	9	16
1	5	12	17	2
1	5	10	4	2
1	6	16	19	17
0	13	7	8	6
1	4	16	14	5
0	18	9	18	5
1	2	5	13	18
0	17	11	3	3
0	11	10	10	15
0	14	10	2	19
0	16	11	13	4
0	3	1	1	5
0	13	7	13	18
1	8	17	5	14
0	18	16	2	14
1	9	12	19	5
1	3	17	13	7
1	2	17	18	17
1	10	16	18	10
1	4	3	13	7
0	8	1	15	15
0	15	1	6	8
0	15	3	11	15
0	13	3	4	17
1	12	10	1	17
0	12	12	13	1
0	10	3	14	3
1	6	3	11	11
0	14	11	8	15
1	10	8	7	5
1	15	10	3	9
0	4	11	18	2
0	5	10	17	7
0	9	9	1	2
1	7	12	1	12
1	4	16	4	18
0	11	5	3	9
0	4	3	8	10
0	17	15	10	7
1	4	17	2	9
0	1	9	11	2
0	6	12	13	11
1	10	15	18	8
1	4	9	14	7
0	2	9	13	7
0	6	3	11	9
1	7	14	6	14
1	7	17	15	2
0	16	5	18	12
1	13	6	5	13
1	1	18	1	13
1	4	15	15	17
1	4	17	7	18
1	17	12	17	11
0	3	2	9	11
0	17	9	8	1
0	10	11	15	8
1	8	11	6	1
0	15	3	4	6
1	5	2	1	10
1	15	13	17	19
0	17	16	18	5
1	6	9	1	5
0	10	10	5	7
1	6	11	12	1
0	11	7	11	10
1	7	2	6	18
1	13	7	11	12
1	17	5	14	16
0	5	1	18	17
1	14	16	1	7
0	15	9	7	1
0	7	1	13	12
0	14	12	14	4
1	7	10	12	17
0	16	17	3	1
1	17	16	18	3
1	12	14	3	15
0	15	10	16	4
1	7	1	17	11
1	11	17	3	9
1	5	11	1	19
1	1	11	2	13
0	16	9	4	17
0	6	3	14	3
1	5	9	5	15
1	5	5	10	19
0	10	5	13	8
0	18	15	3	12
0	2	12	7	8
0	13	10	10	11
1	1	18	4	12
0	9	5	1	9
0	14	1	16	11
0	7	1	18	5
1	8	9	17	15
0	18	12	14	3
0	18	5	3	2
1	11	9	1	7
1	4	3	7	4
0	15	5	17	4
1	5	2	13	16
1	11	14	1	4
0	10	10	14	18
1	11	16	5	12
1	4	14	14	14
1	14	15	6	8
1	8	9	10	13
0	18	1	9	15
0	9	11	19	3
0	16	5	8	6
1	4	14	13	7
0	16	10	16	17
1	13	10	4	18
0	14	17	6	2
1	5	14	5	1
1	12	17	5	11
1	9	16	7	8
1	7	5	10	19
0	6	12	16	5
0	13	12	18	14
0	13	15	17	8
1	15	9	13	9
1	15	12	3	9
0	8	12	15	15
1	6	9	10	11
0	4	8	5	16
0	16	8	9	10
0	4	12	13	6
1	15	16	18	6
0	15	7	9	12
