Resp	V1	V2	A1	A2
1	12	5	5	7
0	14	15	11	12
1	9	1	18	4
0	13	17	5	10
0	3	12	18	3
0	2	13	2	16
0	16	12	11	14
0	12	2	5	19
0	6	18	19	16
0	12	12	12	14
0	12	11	12	18
1	18	12	9	10
0	14	11	5	9
1	18	10	7	11
0	11	16	16	10
0	4	15	17	11
0	16	1	10	4
0	11	16	13	18
1	17	1	2	8
0	10	11	10	2
0	9	5	16	9
0	14	16	18	5
0	11	6	15	15
0	4	17	9	8
0	15	1	9	9
0	13	9	2	19
0	6	7	7	5
0	8	8	8	3
1	6	14	1	9
0	15	1	8	4
0	2	10	17	18
1	18	16	8	13
0	5	16	9	5
0	14	4	2	12
0	6	13	9	13
0	10	5	7	19
0	14	16	5	2
1	6	17	19	15
0	13	10	1	7
1	8	1	19	9
0	12	18	17	19
0	8	8	4	11
1	5	8	1	15
0	2	10	13	9
0	1	18	12	9
0	18	15	10	7
0	1	9	4	16
1	8	16	9	8
0	14	12	16	13
0	8	14	19	12
1	10	8	4	9
0	16	10	10	14
0	12	2	19	12
0	15	2	12	19
0	5	11	8	9
0	18	1	3	13
0	15	1	3	4
1	9	13	19	8
0	15	5	10	4
0	14	8	19	15
1	18	7	6	16
0	3	8	17	15
0	11	7	15	11
0	13	17	8	10
1	14	3	13	14
1	6	17	7	2
1	16	10	12	5
0	13	11	1	9
0	4	9	2	11
1	4	13	8	19
1	4	1	19	11
0	12	16	16	7
1	7	11	13	3
0	6	5	7	13
0	11	13	19	7
0	5	10	8	4
1	10	18	13	13
1	8	1	14	2
1	13	7	12	4
0	5	2	10	6
0	1	8	15	9
1	18	15	18	18
1	12	5	19	17
1	3	7	13	8
1	1	6	3	12
0	13	4	2	18
0	8	8	7	15
0	5	5	9	15
1	15	3	4	2
0	10	16	1	8
1	18	4	9	17
1	14	11	13	13
0	6	8	14	13
1	18	1	7	13
0	16	13	8	4
0	6	11	2	9
0	7	3	17	2
0	10	18	8	13
1	1	13	2	2
1	4	17	19	17
0	6	18	8	12
