Resp	V1	V2	A1	A2
1	6	12	3	3
0	16	17	5	7
0	16	11	7	11
0	7	9	6	6
1	2	9	1	2
0	9	2	10	10
0	1	13	10	8
0	14	18	14	19
1	9	10	8	2
0	10	8	9	17
1	7	3	7	19
0	17	17	2	16
1	15	10	6	6
0	18	1	17	10
0	8	7	3	12
0	15	2	4	1
1	15	16	11	16
0	11	11	12	18
0	13	3	8	17
1	17	15	11	10
0	2	8	15	6
0	8	15	16	11
0	4	15	14	8
0	17	7	17	16
0	17	6	14	19
0	17	16	1	15
0	6	18	5	3
0	12	13	15	7
0	9	17	2	14
0	3	9	19	14
1	14	7	3	17
1	6	16	2	12
1	16	8	17	13
1	1	4	1	11
0	4	8	5	17
1	6	11	10	15
0	4	12	18	13
0	11	10	17	13
0	14	7	16	7
1	16	9	9	14
1	7	1	7	13
1	2	6	8	1
0	18	13	12	9
1	2	15	11	19
0	2	11	17	4
1	4	2	18	11
0	8	1	10	2
0	3	18	18	18
0	14	17	6	15
0	18	4	16	4
0	9	9	19	6
0	6	3	3	18
1	5	11	4	3
1	6	3	12	12
0	14	17	3	12
0	2	1	8	15
0	2	12	10	10
0	2	14	10	3
0	10	6	5	1
1	4	13	19	11
0	10	10	10	16
0	14	7	13	8
1	7	15	6	19
0	15	14	7	18
0	1	15	10	4
0	7	7	2	15
0	16	17	3	8
0	16	14	17	12
1	17	6	10	1
1	9	5	5	2
1	8	6	17	17
1	16	9	11	19
0	10	16	15	11
0	16	3	1	4
0	13	10	2	19
1	16	7	5	18
0	17	18	4	13
1	8	18	16	9
1	3	4	18	16
0	9	2	14	4
0	5	14	15	2
0	16	14	5	14
0	7	9	7	13
0	9	15	2	9
0	4	6	7	13
0	2	17	15	3
0	1	8	15	15
0	4	3	11	19
0	11	15	5	12
1	10	2	13	5
1	6	10	6	18
0	15	11	4	10
0	14	18	2	3
1	17	16	19	7
1	15	15	11	10
0	3	10	8	4
0	7	17	6	10
1	10	5	19	5
1	14	4	13	7
0	17	2	12	16
1	7	1	13	12
0	8	18	4	16
1	15	14	13	9
0	12	4	2	13
1	6	6	19	14
0	8	11	2	6
1	8	4	2	1
1	12	11	15	18
0	5	18	9	19
1	4	10	17	14
0	8	14	16	2
0	15	12	18	11
1	16	12	16	12
0	3	13	7	8
0	9	2	19	5
1	18	2	14	3
0	9	8	19	6
1	8	14	1	9
1	12	3	4	16
0	7	8	12	5
1	14	12	9	17
0	2	7	16	12
1	16	5	3	18
0	7	14	7	5
1	10	1	5	16
1	17	7	13	4
0	18	18	16	1
0	4	17	5	6
1	13	13	2	13
0	8	12	10	16
0	14	15	10	3
