Resp	V1	V2	A1	A2
0	14	16	1	15
1	7	10	12	4
0	6	12	18	17
1	11	8	10	14
0	5	13	7	19
0	11	9	4	7
1	7	2	8	2
0	7	4	1	16
1	3	10	5	7
1	15	11	17	8
0	18	12	1	15
0	14	13	3	18
1	7	10	18	9
1	15	14	5	6
1	2	5	13	10
1	1	11	15	5
1	14	11	9	9
1	1	5	19	8
0	2	15	10	18
1	17	4	19	6
1	9	5	15	5
1	16	8	18	6
0	13	15	1	11
1	14	12	12	11
1	12	18	17	13
0	10	4	1	19
1	5	18	14	1
0	17	13	11	16
0	11	18	14	11
1	11	13	10	11
1	5	5	5	10
0	5	2	15	15
1	3	15	12	2
1	8	15	1	1
0	5	9	2	10
1	15	15	18	7
0	12	8	7	17
0	7	9	18	18
1	18	14	18	14
1	10	10	8	9
1	16	16	5	11
0	6	7	4	18
1	8	17	5	10
1	9	8	15	4
0	1	16	14	14
1	9	13	17	11
0	12	9	12	17
1	17	18	7	1
1	11	18	15	5
1	2	15	17	10
1	10	13	19	13
1	5	3	5	15
0	1	5	14	16
1	10	14	16	16
0	13	10	8	19
0	13	4	7	15
0	7	9	11	15
0	3	17	12	12
0	16	12	10	3
1	12	14	13	2
1	12	15	14	4
1	12	13	6	11
1	6	13	19	7
1	18	9	5	2
0	1	8	9	16
0	6	18	9	11
0	11	12	18	19
1	16	17	14	9
1	17	8	18	9
0	15	13	1	18
0	2	8	1	18
1	8	3	7	6
0	16	18	18	16
1	1	16	17	9
1	9	12	5	7
0	10	7	10	12
1	15	3	7	10
1	4	16	9	1
1	13	9	17	6
1	7	7	11	14
1	18	3	16	9
1	12	3	11	12
0	11	1	8	14
1	17	11	10	5
0	14	18	7	4
1	10	4	5	18
0	15	7	6	19
1	5	13	15	7
1	12	3	11	6
1	9	15	1	2
0	13	7	14	11
0	14	13	3	10
1	13	7	10	7
1	3	5	7	4
0	7	9	6	11
1	18	1	1	5
1	11	15	6	9
0	14	17	1	8
1	14	9	18	2
0	14	12	15	17
1	15	5	12	11
0	7	18	10	13
1	11	9	8	7
0	7	1	6	16
1	2	18	18	17
1	8	12	9	2
1	14	5	2	12
1	15	18	1	4
1	13	5	14	8
1	9	18	16	1
1	12	3	3	6
0	10	11	5	2
0	11	9	17	16
1	3	9	13	11
1	9	12	16	10
1	17	3	5	7
0	9	13	5	17
1	5	5	9	12
1	5	17	8	9
0	14	11	8	17
0	5	1	5	2
1	3	8	4	3
1	14	12	12	6
1	13	8	14	1
0	14	17	12	13
1	18	9	12	8
1	6	2	3	2
1	9	3	19	18
1	12	15	2	6
0	11	18	11	9
0	7	2	9	13
0	12	6	2	13
0	15	4	14	5
1	18	8	15	9
0	1	14	11	13
1	9	3	12	9
0	2	10	3	14
0	13	12	11	16
0	13	13	9	19
1	9	11	19	16
0	8	5	14	16
1	9	1	18	12
0	12	9	17	14
0	7	9	10	10
1	1	5	18	8
0	18	16	10	12
1	6	14	15	8
0	2	11	12	10
0	2	10	9	7
1	12	1	5	8
0	9	1	11	18
1	5	3	15	19
0	14	2	6	15
0	4	11	3	13
1	1	1	6	11
1	12	16	11	4
1	16	8	12	4
0	16	5	2	4
0	7	1	12	5
0	10	7	6	18
0	7	16	5	7
0	7	4	12	13
1	13	18	17	3
0	2	5	5	18
1	16	14	13	13
0	7	5	4	4
0	2	17	7	15
0	10	16	15	19
1	5	15	17	8
1	15	9	12	11
1	11	5	12	6
1	10	8	19	8
1	10	16	8	3
0	4	7	13	16
1	10	7	16	10
0	13	18	12	19
0	9	1	12	13
1	2	1	15	7
1	15	7	18	14
0	14	17	10	18
0	1	13	17	5
0	6	18	3	16
0	13	11	9	9
1	14	3	16	4
0	4	10	6	9
1	11	3	11	9
1	2	18	8	1
0	17	11	7	13
1	4	8	14	9
0	8	17	6	11
1	9	6	9	2
1	9	10	10	1
0	11	14	3	9
0	6	3	8	7
0	1	1	8	18
0	2	13	5	19
1	9	11	11	1
0	17	16	8	17
0	18	6	14	18
1	4	5	8	5
0	9	17	4	17
1	6	9	16	12
1	10	6	15	16
1	17	11	10	1
0	7	9	2	12
1	16	18	2	18
0	10	15	10	14
0	13	10	6	10
0	13	12	12	19
0	14	12	15	19
0	14	9	5	8
0	3	10	12	13
1	4	5	2	1
1	12	16	16	4
1	10	1	15	7
0	3	3	5	16
1	3	14	18	1
1	16	17	19	6
1	12	2	5	4
0	9	9	11	7
1	14	15	9	13
1	18	5	3	2
0	10	17	5	14
