Resp	V1	V2	A1	A2
1	18	4	4	19
1	10	9	11	7
0	2	13	19	12
1	15	6	9	11
1	13	4	11	3
1	4	8	12	2
0	2	13	6	10
1	9	1	11	16
0	4	16	5	11
1	13	11	15	7
1	17	3	6	7
1	3	9	7	5
0	10	8	5	5
0	4	12	17	19
0	4	16	18	3
1	12	1	9	9
1	9	4	17	16
1	2	7	10	16
0	8	17	1	13
1	4	6	4	12
0	9	18	13	17
1	11	2	8	14
0	8	9	13	5
0	10	12	6	15
0	9	11	10	15
1	10	5	19	4
0	2	4	3	10
1	18	9	8	5
1	3	7	6	19
0	3	15	5	17
0	12	15	1	1
1	7	3	12	10
0	8	9	18	11
1	18	9	19	12
0	12	13	7	7
0	8	9	11	10
1	3	6	7	5
0	1	16	17	13
1	16	15	19	16
1	15	2	3	3
1	3	1	6	5
0	11	17	14	18
0	8	6	3	11
1	17	1	9	4
1	15	17	10	4
0	15	18	10	11
1	13	6	9	5
1	18	2	9	2
0	9	13	18	4
0	4	18	5	11
1	18	10	17	9
1	7	7	13	17
0	8	11	3	10
1	9	5	3	2
1	16	7	11	1
1	17	2	1	10
1	9	3	15	15
1	18	5	12	2
1	8	4	7	5
1	10	6	15	3
1	7	7	14	6
0	5	9	2	14
1	3	6	10	8
1	18	15	3	4
0	11	18	13	1
0	1	17	10	1
1	5	4	15	3
1	15	5	12	6
0	8	10	19	1
1	18	17	13	19
1	18	4	17	19
0	2	11	16	2
0	7	10	9	1
1	12	6	16	12
0	10	7	18	9
0	11	9	2	18
1	11	2	16	8
0	1	7	11	12
1	1	8	18	2
1	16	5	13	15
0	12	17	19	4
1	16	11	13	11
0	13	18	14	10
1	9	3	5	2
1	15	1	12	7
0	3	15	9	3
1	16	11	11	12
0	3	7	19	19
1	13	6	1	13
1	11	6	8	1
1	17	1	15	2
1	17	11	17	1
0	7	1	10	18
1	2	1	6	13
0	4	14	6	13
0	7	17	16	3
1	5	11	6	19
1	16	1	9	16
1	12	12	11	18
1	14	11	18	18
0	1	9	15	18
0	16	18	7	10
0	10	2	5	18
0	7	15	13	17
1	14	12	10	17
0	3	18	10	12
1	13	11	9	4
1	15	15	18	19
1	16	3	12	13
1	7	3	19	11
0	1	15	19	8
0	4	9	16	5
0	17	18	13	1
1	15	8	17	12
1	14	9	6	18
1	16	7	5	5
0	6	16	18	5
0	2	12	14	6
1	18	2	12	5
1	9	2	10	5
0	16	11	4	13
1	2	3	8	16
0	7	17	12	12
0	8	9	19	11
1	9	9	17	7
0	6	13	2	1
1	13	10	18	3
0	7	16	4	14
1	12	1	9	16
1	5	4	5	2
1	17	14	15	9
0	3	18	3	15
0	4	16	16	8
0	6	15	14	2
0	3	8	9	13
1	13	8	10	3
0	7	15	8	9
1	12	9	12	15
1	16	4	5	2
1	3	5	12	10
0	3	12	1	9
1	3	2	2	1
0	1	1	11	4
1	10	1	7	13
1	14	9	8	6
1	3	4	12	13
0	10	16	10	13
1	8	4	16	10
1	4	9	1	2
1	7	8	3	16
0	4	8	15	11
1	17	6	6	5
1	10	5	15	16
0	10	14	17	4
0	8	14	16	3
0	12	16	17	5
0	7	18	6	12
1	1	17	13	3
0	6	8	10	7
1	13	7	6	15
0	4	12	3	17
0	7	13	1	4
1	13	2	10	8
0	5	18	9	8
1	9	5	3	13
1	14	3	13	11
1	1	4	13	3
0	7	15	15	7
1	8	7	1	14
1	5	3	6	18
1	2	2	7	3
0	13	12	3	13
1	18	10	13	14
0	9	9	5	15
1	13	11	19	16
1	17	9	9	12
1	10	1	2	12
0	9	8	3	13
1	15	2	14	9
1	17	1	15	15
1	10	12	12	2
1	15	3	11	16
1	14	4	5	5
0	12	17	11	13
1	12	2	5	11
0	5	12	16	13
0	13	15	2	6
0	14	18	17	7
0	6	17	14	18
0	1	18	1	17
1	14	2	12	19
1	5	9	11	11
0	7	13	15	17
0	6	18	2	1
1	16	8	11	10
0	2	12	12	11
1	16	3	8	15
0	5	11	10	15
0	15	18	17	12
0	5	16	11	16
1	7	7	2	14
0	2	10	15	7
1	6	5	2	3
1	15	14	11	10
0	6	12	9	16
0	9	12	3	6
0	4	13	17	16
1	17	5	8	8
0	15	13	7	12
1	16	1	4	14
1	2	13	14	2
1	13	9	13	13
0	7	9	11	13
1	12	7	8	14
0	2	10	5	12
0	3	7	2	13
1	17	5	10	18
0	1	18	2	4
0	3	5	7	12
0	10	14	3	2
1	2	2	15	1
1	16	13	7	19
1	2	1	15	13
1	15	9	13	12
0	1	17	11	1
0	1	10	16	10
0	3	17	16	17
1	12	10	7	3
