Resp	V1	V2	A1	A2
0	3	3	10	13
1	13	3	9	8
0	4	5	2	7
0	3	13	17	11
0	3	10	7	4
0	9	7	7	16
1	2	4	1	17
1	12	6	16	10
0	9	14	2	15
0	5	16	2	17
1	1	2	17	15
1	8	1	1	9
0	17	16	9	12
1	17	4	1	9
0	3	14	9	6
0	1	9	13	8
0	1	17	3	5
0	10	16	3	19
0	15	16	11	7
1	3	4	12	15
0	4	15	19	17
1	17	7	11	2
0	2	4	15	13
0	3	9	3	15
0	11	7	6	13
1	1	6	16	9
1	1	2	8	5
1	11	2	14	18
1	13	12	11	4
0	6	11	11	7
0	9	14	1	14
0	8	4	9	9
0	6	14	15	15
1	13	6	2	5
0	7	18	14	13
0	18	14	15	17
1	14	6	2	2
1	17	5	3	10
0	12	15	13	11
0	5	14	4	4
0	3	14	7	16
0	10	11	4	4
0	5	10	6	6
0	4	7	1	9
0	10	12	14	1
1	16	8	5	16
1	7	3	8	2
0	6	14	15	18
1	17	8	19	11
1	1	3	9	14
0	5	17	4	1
1	15	6	19	1
1	6	10	19	17
1	4	1	3	1
0	17	13	6	9
1	8	4	9	1
1	16	2	3	11
0	14	16	4	2
0	6	17	4	13
0	3	17	19	5
0	3	15	19	19
1	4	3	18	19
1	13	8	14	5
1	12	2	5	4
1	18	7	6	17
0	3	6	8	8
0	5	18	6	8
0	17	15	8	15
1	16	14	7	9
1	13	6	11	1
0	9	10	14	15
0	13	15	1	3
1	15	13	3	17
0	6	16	14	16
0	2	8	1	13
1	3	1	6	2
0	10	7	3	15
1	15	13	17	9
0	4	13	4	11
0	9	16	10	15
1	13	16	19	10
0	5	14	13	17
0	6	14	9	17
1	16	17	17	4
1	2	4	11	8
0	6	16	2	10
0	15	14	9	17
0	2	18	13	9
1	16	3	12	18
0	5	15	19	12
0	12	14	8	19
1	15	9	13	18
1	15	7	8	7
1	7	18	5	12
0	7	13	13	3
1	18	12	8	3
0	6	5	16	11
0	7	8	6	14
1	15	9	10	1
0	7	9	14	19
1	13	5	16	11
0	12	11	4	4
1	13	8	5	13
1	17	14	17	10
1	13	5	13	7
1	1	2	14	4
0	4	11	16	1
0	1	17	5	16
0	5	17	7	10
0	9	8	19	18
0	5	17	4	9
0	12	15	7	19
0	6	9	13	19
0	7	12	18	5
1	5	8	5	11
1	17	9	16	11
1	17	1	5	11
1	11	11	4	12
0	13	16	8	6
0	9	9	11	8
1	16	2	11	15
0	14	14	4	18
1	16	11	14	6
1	15	3	6	1
1	6	7	10	10
1	13	6	8	6
1	10	1	8	18
1	11	8	14	12
1	18	11	3	9
1	7	1	13	5
0	11	12	18	19
1	15	6	14	8
0	17	15	8	13
1	15	9	3	14
0	5	13	19	17
1	18	12	10	11
1	14	12	18	12
0	3	4	9	10
1	9	15	16	7
1	8	5	11	10
0	17	16	4	10
0	10	12	12	17
1	3	1	13	18
1	14	6	18	8
1	17	13	12	12
0	14	14	1	5
1	10	6	8	3
1	13	4	19	9
0	2	10	14	5
1	2	2	11	10
0	2	9	8	10
1	12	10	17	10
0	9	13	5	11
1	14	4	15	8
1	3	10	16	4
1	3	12	17	6
0	3	4	6	11
0	6	6	4	14
1	17	7	2	17
0	2	18	16	5
0	13	3	12	15
1	4	1	15	5
0	6	13	11	3
1	11	13	13	1
1	18	2	16	2
0	7	2	16	19
0	1	9	2	13
1	15	5	11	9
0	18	12	11	16
0	6	13	13	11
1	14	1	9	4
0	1	15	1	14
0	9	17	6	10
1	12	1	13	1
1	14	8	16	1
0	12	8	1	18
0	5	15	16	6
0	12	5	1	18
1	8	18	1	11
1	6	2	3	6
1	9	13	9	6
0	7	14	15	3
1	12	6	11	5
0	11	10	18	13
1	1	6	6	5
0	6	15	18	10
1	17	6	17	7
1	16	9	13	7
1	15	4	7	17
0	7	13	4	10
1	1	3	3	6
0	4	7	14	7
1	16	2	9	9
1	17	4	3	19
0	7	15	8	12
0	1	12	13	2
0	11	17	1	2
0	1	5	9	6
1	16	8	3	19
1	7	9	11	1
1	14	11	13	8
0	5	14	18	17
1	16	11	15	7
1	8	3	3	10
1	15	4	2	7
1	11	12	16	2
0	10	12	2	7
0	11	12	3	13
1	18	5	18	19
1	4	2	8	5
1	12	4	4	7
0	17	15	9	13
1	17	1	5	10
0	11	15	19	2
1	4	13	8	14
0	18	13	17	17
1	11	9	13	14
1	8	6	17	2
0	10	17	4	3
0	2	8	19	12
1	11	1	18	5
0	16	17	2	16
0	5	10	2	15
0	10	10	11	14
0	6	12	15	12
1	18	2	1	11
1	15	5	9	14
0	12	10	10	10
1	15	1	11	10
1	10	5	10	15
0	2	2	17	7
1	2	1	5	6
1	8	4	16	17
0	3	11	17	3
1	18	10	19	4
0	15	11	2	7
1	14	2	5	8
1	14	14	19	7
0	5	17	2	3
1	10	9	7	9
1	16	5	7	3
1	1	5	4	5
0	5	15	5	19
0	9	18	1	8
1	5	10	9	2
1	3	7	9	13
1	9	2	17	6
0	5	5	7	18
1	10	6	17	14
0	2	17	19	15
1	15	7	19	5
0	2	15	18	19
1	3	2	2	4
0	7	9	19	19
0	3	14	15	11
0	16	18	12	15
1	2	7	12	18
1	11	10	16	18
0	1	14	16	15
1	14	11	13	16
0	6	12	1	17
0	3	9	9	10
1	6	13	17	5
0	12	15	3	8
0	1	16	2	3
0	7	14	4	12
0	3	1	2	9
1	17	9	8	14
0	10	8	11	19
0	9	12	4	11
1	3	4	6	2
0	3	13	13	15
0	16	9	6	10
0	3	17	11	11
1	14	3	10	1
1	14	10	2	13
1	16	4	6	18
0	14	16	15	12
1	3	6	18	9
0	15	18	4	14
1	11	5	1	18
1	8	7	17	17
0	7	9	8	7
1	5	9	2	6
1	6	1	13	4
1	11	3	1	12
0	5	11	19	3
0	9	16	19	7
1	12	3	15	8
0	13	8	6	8
0	2	17	1	16
1	7	1	5	8
1	17	8	12	10
0	1	8	2	12
0	4	13	7	11
1	3	11	15	7
0	3	9	7	15
1	9	9	7	14
1	12	1	7	5
1	9	4	14	8
