Resp	V1	V2	A1	A2
0	13	4	4	13
1	7	7	11	6
0	18	11	4	4
1	6	13	13	8
1	4	17	14	14
1	1	2	6	7
0	11	7	12	13
0	7	5	18	12
1	3	17	18	16
0	12	15	7	3
1	4	12	14	17
0	4	1	19	6
1	1	17	1	1
0	18	2	8	1
1	13	5	3	18
0	17	13	12	12
0	2	7	12	7
1	17	8	3	11
1	10	8	4	17
0	13	5	6	2
0	3	12	13	10
0	18	15	19	4
1	2	11	7	12
0	11	4	18	14
0	12	2	14	4
0	7	13	9	6
0	2	14	9	1
1	13	8	6	15
0	8	15	17	3
1	3	10	11	13
1	13	4	15	19
0	15	8	9	4
1	3	13	10	14
1	11	12	2	16
0	5	3	11	1
1	16	5	3	13
0	11	10	18	3
0	4	15	10	3
1	12	14	8	9
0	4	12	11	6
1	4	10	3	9
0	16	13	11	11
1	12	17	15	6
1	3	4	9	12
0	9	10	11	6
0	5	6	13	7
1	15	16	8	1
1	2	15	2	6
0	7	6	18	2
0	11	11	16	2
1	11	10	12	15
1	2	7	5	19
1	5	6	8	14
1	12	18	5	4
0	12	1	10	2
1	4	13	11	8
0	12	1	19	15
1	12	8	15	18
1	16	17	17	17
1	8	14	17	5
0	17	7	19	9
0	16	1	13	14
0	8	2	3	7
0	4	8	10	10
1	1	8	2	8
1	11	8	6	11
0	12	4	7	8
1	12	13	9	13
1	1	14	1	9
1	6	12	11	1
0	14	4	18	12
1	3	18	8	2
0	10	14	9	5
1	17	15	16	19
0	11	15	17	19
1	14	9	6	17
0	2	10	7	11
0	3	9	11	4
1	11	16	16	2
1	1	2	13	14
0	15	9	6	5
0	1	6	4	9
1	2	9	1	9
0	14	16	4	1
0	2	4	1	3
1	5	13	13	3
0	13	1	13	13
0	6	10	12	13
1	5	10	5	13
0	1	6	9	2
0	14	12	17	15
1	6	4	9	14
1	5	6	5	14
0	10	8	13	1
1	12	16	10	7
0	3	8	8	3
1	2	13	17	8
0	10	4	11	9
1	4	18	4	13
0	7	12	18	8
1	1	11	4	18
0	10	12	15	4
1	8	1	14	19
0	16	7	12	7
0	16	5	18	2
1	12	4	15	11
0	10	7	10	16
0	12	5	15	7
0	4	8	2	1
0	4	8	13	7
1	3	5	8	16
0	9	15	14	2
1	9	10	4	10
0	17	2	1	6
0	14	14	16	2
0	10	6	8	1
0	18	6	18	10
0	8	8	17	12
1	12	6	4	12
0	17	3	18	15
1	12	16	1	14
0	17	4	8	1
0	18	6	18	6
0	4	2	5	7
0	3	5	18	15
1	4	17	8	16
0	7	4	10	10
0	10	1	2	13
0	10	13	13	11
1	6	10	3	8
0	11	3	11	11
1	8	17	6	4
1	5	18	3	12
0	7	8	8	12
1	3	13	9	15
0	12	5	18	7
1	6	3	3	15
0	6	13	19	10
0	15	17	18	11
0	9	6	17	17
0	18	17	5	12
1	6	18	8	18
1	1	16	16	15
0	10	9	12	12
0	17	7	5	11
1	3	13	13	17
0	6	7	5	14
0	16	13	2	2
1	13	3	11	6
0	15	3	3	3
1	8	1	2	11
1	6	8	8	12
0	13	16	14	9
0	10	16	14	1
1	12	18	18	13
0	13	2	12	4
0	12	2	5	10
1	1	10	10	8
0	2	10	13	2
0	16	9	12	2
0	15	3	18	16
0	13	9	9	7
1	14	9	16	8
0	16	5	1	7
0	16	12	9	1
1	4	17	9	11
0	12	14	15	10
0	18	18	12	9
0	15	8	2	17
0	7	3	11	2
0	12	15	12	15
1	11	18	7	14
0	17	14	1	1
0	14	15	13	6
0	2	1	13	17
0	1	5	10	4
0	14	11	1	12
1	15	7	4	18
1	3	18	17	15
0	18	4	16	3
0	14	11	6	3
1	7	16	19	7
1	11	13	14	14
0	9	7	12	12
0	1	4	9	7
0	2	3	7	9
0	3	16	4	16
0	11	7	13	16
0	17	2	19	13
1	1	15	9	14
0	7	8	2	1
1	1	15	11	6
1	11	4	8	14
1	9	14	12	8
0	18	8	4	1
0	16	15	19	8
0	6	13	8	3
0	8	13	19	17
0	15	12	11	3
0	9	17	5	11
1	2	17	14	4
1	2	1	16	18
0	7	5	14	7
0	10	10	6	10
0	2	7	15	15
0	6	5	19	18
1	17	6	1	5
1	14	5	7	19
1	17	7	1	16
1	4	17	11	12
0	9	5	14	8
1	1	15	5	6
0	7	8	17	10
0	12	10	6	14
0	14	14	14	3
0	5	1	12	14
0	13	7	9	10
1	6	18	4	6
0	16	11	1	11
1	3	5	19	6
1	7	17	14	4
0	11	5	13	1
1	1	3	8	10
0	16	14	6	5
1	3	4	14	12
0	3	11	3	3
0	2	6	16	14
1	18	14	15	19
1	1	12	3	13
0	17	3	9	1
0	2	10	14	18
0	14	11	17	2
1	2	13	15	2
1	11	13	6	10
0	16	14	15	9
1	4	9	5	11
1	18	16	6	19
0	1	1	16	4
0	18	10	8	4
1	6	11	11	9
1	10	16	18	10
1	9	12	16	19
0	12	8	10	10
0	18	7	10	18
0	13	9	15	4
0	10	11	12	1
0	6	9	18	16
0	18	4	18	19
1	14	7	13	6
0	9	8	15	5
0	10	16	14	18
0	16	6	18	7
1	5	13	1	17
1	3	15	17	18
0	6	7	15	15
1	6	13	6	19
1	5	11	9	18
1	7	12	14	19
0	10	2	13	19
1	9	17	15	19
0	8	8	6	4
1	4	18	16	1
1	1	17	7	15
0	9	6	8	11
0	2	9	19	5
1	2	10	8	17
1	4	9	6	15
0	13	7	9	18
1	11	10	12	16
1	7	17	2	19
0	16	12	4	12
0	18	11	6	13
0	6	11	9	9
0	18	17	13	15
0	15	13	17	4
1	1	1	9	8
0	17	1	13	5
0	12	2	13	2
0	16	5	2	10
0	11	5	11	1
1	12	12	11	14
0	9	1	12	5
0	7	12	8	11
0	13	12	7	3
1	4	18	9	1
0	13	15	1	6
0	15	7	4	11
1	14	11	9	16
0	18	14	16	17
1	9	11	17	9
1	9	6	3	18
1	3	12	6	10
0	5	5	16	19
1	13	8	17	8
0	7	7	8	1
1	6	8	3	15
1	7	16	18	2
0	16	8	6	12
0	4	11	6	2
1	15	16	17	11
