Resp	V1	V2	A1	A2
0	1	2	13	17
0	7	17	9	8
1	14	1	18	13
1	10	2	14	10
1	9	3	6	1
0	5	15	18	13
1	16	5	14	7
0	12	17	10	19
0	12	1	6	19
0	2	16	8	8
0	9	16	19	6
0	3	15	11	5
1	12	13	18	11
1	11	8	9	13
0	15	14	2	1
1	11	4	5	7
1	9	3	7	5
0	7	16	10	18
1	10	4	10	18
0	2	16	3	12
1	13	5	19	18
0	9	14	4	18
1	16	8	15	18
0	4	8	2	12
1	1	1	10	1
1	2	4	2	10
0	2	2	6	12
1	14	4	5	12
1	11	8	10	8
0	1	14	11	15
0	13	17	15	3
1	3	1	18	5
0	2	5	11	19
1	18	1	3	6
1	7	1	1	8
0	12	9	8	14
0	1	11	12	8
0	16	14	19	15
1	4	9	9	2
1	16	2	18	2
1	6	2	15	5
0	10	15	5	3
1	18	18	6	9
0	8	17	8	14
0	4	11	7	4
0	7	9	12	18
0	4	15	19	17
0	12	14	5	9
1	16	7	13	14
1	17	14	11	5
1	13	6	14	18
0	4	14	17	12
1	2	1	9	1
0	6	9	16	14
1	3	5	14	10
1	12	10	12	2
0	2	17	19	9
0	3	11	18	4
0	5	12	12	14
0	8	17	16	7
0	12	16	6	7
0	3	15	9	6
0	9	16	5	9
0	4	8	15	9
1	5	9	12	5
1	18	1	7	7
0	10	12	10	1
1	18	13	7	9
1	9	1	6	13
1	4	2	4	9
0	5	18	7	7
1	15	2	12	1
1	5	4	3	1
0	5	18	15	13
1	16	7	5	18
0	11	14	9	13
0	1	11	10	14
0	15	14	2	18
1	12	8	8	10
0	4	11	9	3
1	14	15	3	7
0	7	13	15	19
0	12	14	1	2
0	1	18	19	8
1	13	2	4	9
1	8	4	5	5
0	13	10	6	19
1	11	7	14	13
1	17	4	11	18
0	6	9	4	18
1	7	2	1	13
1	16	7	15	15
0	4	18	11	9
0	4	11	13	12
1	15	4	7	2
0	5	15	11	17
1	16	17	18	1
0	1	14	18	8
0	11	16	13	16
0	8	6	9	11
1	10	15	19	4
0	3	16	6	5
0	5	14	13	4
0	18	16	1	3
1	16	13	17	16
0	5	14	8	13
1	16	11	2	11
0	10	17	10	3
0	1	10	16	12
0	12	14	18	9
1	17	15	7	4
0	6	12	11	5
0	12	16	14	10
1	13	4	11	17
0	8	10	5	4
1	10	4	9	7
0	18	14	16	16
1	10	10	8	3
0	1	8	7	14
1	16	17	18	3
1	15	13	14	2
1	14	15	18	7
1	7	7	15	11
1	13	10	12	8
0	6	18	11	16
1	17	12	17	15
0	11	13	5	1
1	4	8	1	7
1	15	3	10	9
1	12	15	17	6
1	3	7	9	6
0	2	3	4	8
0	3	13	16	2
1	17	16	13	12
0	8	17	2	15
1	3	7	19	1
0	15	15	4	19
0	9	8	2	17
0	9	12	6	9
0	13	14	16	3
0	17	18	6	3
1	12	10	16	2
1	8	3	8	7
1	6	2	4	3
1	18	13	12	1
0	3	1	2	9
0	9	5	2	7
0	8	12	15	14
1	15	1	8	2
0	16	18	1	16
1	10	4	16	13
0	6	10	5	12
0	5	10	8	12
1	2	3	4	6
0	7	16	1	1
0	9	15	15	13
0	15	13	18	9
0	13	16	3	3
1	12	6	11	5
0	10	11	6	5
1	18	10	19	13
1	14	8	16	15
1	12	13	10	13
1	16	2	11	5
1	9	5	6	16
1	5	1	10	8
0	16	18	3	18
1	3	4	13	6
1	8	7	10	1
1	14	9	7	13
0	9	18	12	12
1	14	16	16	3
0	7	14	3	18
0	4	5	10	15
1	13	10	15	10
0	11	9	3	9
0	1	7	7	10
0	6	10	15	7
0	6	14	12	11
1	16	17	15	14
0	18	10	1	16
1	17	16	17	1
1	12	5	8	18
0	2	18	3	8
0	1	7	18	11
0	4	8	14	14
0	5	17	6	4
0	12	11	10	16
0	5	17	4	9
1	12	6	15	13
1	18	15	14	4
1	12	5	11	12
1	10	8	12	6
1	3	2	16	14
0	2	8	8	8
0	1	3	3	10
1	11	1	15	18
1	12	5	11	11
0	11	13	14	1
1	4	5	4	10
1	16	12	16	14
0	11	13	14	4
0	11	12	3	10
0	6	16	5	17
1	9	3	1	15
0	4	15	13	19
1	18	11	16	17
1	18	16	1	13
1	16	4	2	7
1	18	16	4	3
0	9	1	6	17
0	5	12	7	12
1	17	7	5	11
0	11	1	12	19
1	7	6	19	12
0	3	11	7	1
1	14	3	17	13
0	8	9	2	5
0	9	11	13	16
1	13	8	9	18
1	18	11	18	12
1	13	15	14	9
0	9	7	16	7
0	13	8	6	16
1	15	8	4	15
1	12	6	19	2
1	8	8	19	5
0	2	10	8	11
1	3	10	14	4
1	13	10	9	12
0	5	15	9	3
1	13	5	13	12
0	6	10	10	14
0	9	15	16	15
1	5	2	7	4
1	18	13	14	5
1	3	4	5	2
1	14	14	19	5
1	16	8	17	6
1	6	1	14	15
1	18	8	16	8
1	18	17	16	16
0	12	17	6	16
1	11	12	6	3
1	4	2	16	7
0	6	16	15	10
0	6	10	9	4
0	2	15	2	14
0	1	3	3	12
1	18	1	14	2
0	10	14	1	17
0	3	17	5	18
1	6	4	12	2
1	17	18	16	2
0	3	5	13	3
0	5	16	3	9
0	7	17	8	1
0	15	16	16	4
1	12	1	1	2
1	18	4	18	9
1	15	15	19	5
0	7	18	18	3
0	11	17	6	11
0	1	12	4	11
1	4	5	11	6
1	10	6	3	6
1	11	3	6	16
1	17	9	7	10
0	2	11	1	7
0	12	18	4	12
1	12	10	8	17
1	14	8	6	4
1	6	8	17	1
1	13	10	15	4
0	11	16	11	3
1	12	7	11	1
1	7	6	15	2
0	3	4	17	19
0	1	14	6	8
0	5	10	7	16
1	5	4	15	9
0	5	16	3	10
1	16	13	19	10
1	15	3	5	4
1	18	6	13	18
0	6	14	17	1
0	6	10	18	2
1	15	8	10	9
0	6	15	11	7
0	9	14	16	5
1	17	5	15	6
0	2	9	3	19
0	12	15	6	17
0	17	11	10	16
0	3	2	4	18
0	17	18	14	14
0	10	10	8	10
1	16	2	17	12
0	12	8	1	16
1	11	2	13	18
