Resp	V1	V2	A1	A2
1	3	1	11	4
1	16	14	7	12
1	15	2	18	19
1	18	5	11	8
1	18	18	16	7
1	6	4	6	1
0	11	7	2	15
1	7	1	8	14
1	5	1	2	4
0	11	12	15	6
1	14	9	10	17
1	9	7	1	5
0	8	13	7	19
1	14	13	6	19
1	14	15	12	12
0	10	14	10	13
1	17	2	6	3
1	4	1	7	6
0	13	15	11	10
1	8	6	17	9
1	13	18	6	10
0	3	4	5	9
1	7	12	17	9
1	15	4	13	4
0	1	8	7	14
1	11	3	5	8
0	13	15	16	5
1	8	8	13	8
1	14	15	18	7
1	16	5	3	7
0	7	12	14	19
1	18	13	19	12
1	16	8	2	1
0	2	7	16	18
0	5	10	13	13
1	18	12	17	8
0	5	17	12	11
0	2	14	15	18
0	3	3	9	8
0	1	12	3	15
0	8	13	19	11
0	2	10	18	10
0	12	13	10	7
1	7	9	18	6
0	14	16	10	18
1	8	3	12	18
0	6	17	17	7
1	7	7	3	10
1	6	2	10	17
0	16	17	2	14
1	17	11	17	2
0	9	13	18	18
1	18	12	15	8
1	13	3	19	1
1	7	9	16	12
1	15	9	11	8
0	3	14	14	18
0	7	18	1	2
0	6	11	8	17
1	11	3	14	14
1	15	10	13	11
0	11	13	2	17
0	2	11	5	14
0	15	16	13	16
0	3	18	7	18
1	15	8	3	11
0	4	13	14	4
0	1	16	2	13
1	16	9	1	15
1	15	6	13	16
0	9	7	6	1
0	1	16	3	8
1	5	7	13	4
1	17	2	19	4
0	10	15	9	16
0	3	16	13	17
1	15	5	5	10
1	17	7	8	10
1	18	4	10	10
0	1	13	7	19
1	6	3	15	5
0	6	12	13	10
1	8	9	16	13
0	7	3	1	3
1	6	9	4	10
1	2	2	8	15
1	15	10	13	6
1	3	10	11	16
0	1	5	3	16
1	2	6	15	2
0	10	17	1	12
1	16	6	10	13
0	6	11	13	10
1	13	12	12	1
1	3	11	9	1
1	18	2	18	19
1	14	18	1	19
1	6	1	18	13
0	7	16	3	8
1	10	1	8	4
1	18	17	18	1
0	12	18	4	3
0	1	1	4	19
1	9	2	9	8
0	1	9	10	2
1	6	11	13	5
0	2	16	14	1
0	17	17	18	7
1	5	3	10	16
0	3	9	8	16
1	5	6	15	2
0	8	15	6	1
1	18	13	1	2
1	11	3	19	7
1	4	9	15	8
1	18	7	4	1
0	5	16	18	17
1	10	7	7	10
1	17	16	14	7
1	14	7	3	5
0	8	17	9	16
1	9	7	13	17
0	11	11	4	17
1	5	7	3	6
0	4	15	17	7
1	9	1	5	19
0	9	16	5	2
1	15	16	18	15
1	6	6	17	9
0	5	10	8	10
1	11	9	1	10
0	15	12	9	5
0	9	18	16	11
1	18	15	6	8
1	12	14	12	10
0	4	11	7	6
1	17	5	10	11
1	11	13	18	5
1	2	1	8	14
1	15	10	3	15
1	4	4	19	4
0	2	17	2	17
1	13	7	1	17
0	13	12	5	16
0	3	8	4	17
0	6	5	2	16
0	13	17	11	10
0	6	12	7	4
1	14	6	12	1
1	8	14	15	7
1	10	2	18	9
0	5	11	7	7
1	10	1	10	16
0	1	5	15	11
1	1	2	9	6
1	15	11	4	15
0	4	17	1	14
1	18	11	1	14
1	3	5	11	5
1	17	1	8	17
0	6	12	5	6
0	13	13	4	15
1	12	12	15	8
1	18	16	19	3
0	16	18	12	6
1	16	2	7	14
1	14	2	17	7
1	18	8	7	13
1	7	8	13	4
1	11	2	13	4
0	1	5	7	11
0	3	17	14	6
1	18	12	14	1
0	5	15	13	3
1	9	7	13	10
0	1	12	12	14
1	7	9	15	4
1	13	3	3	17
1	18	5	5	18
0	5	4	5	11
0	1	13	6	6
0	9	7	15	18
1	18	1	1	19
0	4	18	18	6
1	16	14	18	19
1	16	6	6	14
0	1	16	3	17
0	17	18	14	12
0	7	14	10	11
0	9	17	14	11
1	17	2	1	4
0	10	7	4	6
1	4	18	14	5
0	10	13	10	7
1	6	7	12	10
0	8	16	18	15
1	11	4	4	18
0	2	16	5	19
1	14	5	16	14
0	13	15	14	12
0	17	14	17	8
1	15	12	19	15
0	18	16	16	15
0	5	14	5	19
1	18	2	12	19
0	7	10	1	7
0	11	15	7	15
1	6	1	14	2
0	10	11	9	15
1	6	1	4	10
0	5	13	3	1
1	3	6	2	9
0	5	7	10	16
0	8	15	8	14
0	8	17	2	4
0	6	5	18	18
0	6	5	2	12
1	7	5	16	19
1	16	10	5	7
0	1	11	17	10
1	13	8	11	3
0	1	11	3	13
0	4	5	7	2
0	2	4	8	15
1	10	8	16	1
1	11	8	5	9
0	2	15	18	2
0	12	12	13	12
0	5	7	6	15
1	16	11	8	19
0	12	14	3	19
0	3	15	8	10
1	4	4	5	14
0	9	9	11	4
0	8	14	14	10
1	17	11	6	6
1	11	6	11	6
0	1	1	13	14
1	12	7	16	2
0	2	7	3	7
1	15	7	19	4
0	3	9	11	17
1	15	13	12	13
1	13	6	18	13
0	7	2	12	2
1	18	13	19	11
0	3	12	17	17
1	10	8	8	6
1	8	5	2	9
0	14	18	4	11
0	6	14	3	2
0	8	18	9	6
1	14	4	11	5
1	3	8	3	6
1	14	11	7	7
1	13	5	15	6
0	6	14	13	7
1	15	3	11	14
0	14	17	1	12
0	6	14	19	11
1	11	4	12	3
1	18	11	14	7
0	6	18	16	16
0	12	16	11	3
0	2	11	11	16
0	5	15	16	17
0	5	13	13	7
1	11	7	17	11
1	18	12	19	10
0	15	14	8	16
1	6	3	18	9
1	14	3	17	2
1	4	4	1	9
1	14	13	6	7
1	13	7	18	4
1	18	9	5	3
1	7	1	12	9
0	5	10	18	15
0	7	13	10	16
1	2	1	18	4
0	8	14	15	14
0	1	17	10	17
1	6	6	15	5
0	1	1	4	18
1	3	15	10	10
1	13	10	4	10
1	18	3	13	4
0	8	12	6	10
1	18	11	3	15
0	15	18	4	11
1	13	6	18	19
0	3	17	5	10
1	11	11	3	4
1	9	3	6	14
0	8	6	4	19
0	1	6	16	13
1	1	12	4	16
1	13	10	13	7
1	10	8	14	6
0	2	12	9	2
