Resp	V1	V2	A1	A2
0	8	9	17	5
0	13	18	8	19
1	17	8	3	5
0	11	14	19	12
0	4	11	5	15
0	1	3	15	14
0	6	14	13	6
0	9	8	10	13
0	8	14	3	1
1	13	3	8	14
0	2	16	10	6
0	7	7	13	5
1	18	13	18	1
0	3	17	10	9
1	14	11	19	15
1	5	4	18	4
0	4	16	3	3
0	11	12	12	16
0	5	11	12	19
1	17	12	14	16
0	7	1	12	4
0	4	10	15	11
0	16	13	1	2
0	8	16	1	10
1	15	15	17	12
0	5	11	6	3
0	2	5	16	2
1	17	10	14	18
0	8	3	1	6
0	8	7	17	13
0	10	9	16	7
0	8	13	1	5
0	3	4	14	15
0	2	15	5	8
0	2	12	17	4
1	18	11	5	5
0	12	16	19	15
0	13	12	15	4
0	2	13	3	19
1	18	12	13	15
0	2	6	3	1
0	8	14	4	16
0	6	16	3	6
0	9	16	5	9
0	10	13	12	14
0	5	2	14	3
1	12	12	16	9
1	6	7	18	16
0	1	9	19	7
1	17	13	11	4
0	2	8	11	16
0	8	9	1	18
0	1	4	7	9
1	17	2	16	14
0	2	13	6	16
1	12	2	13	2
0	2	8	4	8
0	11	17	18	13
0	8	17	7	8
1	14	7	1	4
0	9	12	6	14
0	8	8	9	18
1	14	5	3	16
0	4	4	9	1
1	16	16	17	4
1	6	2	15	1
0	4	11	2	9
0	1	14	15	13
1	17	3	13	6
1	17	9	6	2
0	1	12	14	9
0	2	16	13	11
0	8	14	4	4
0	6	10	9	5
0	1	9	9	19
0	7	6	11	11
1	1	2	6	4
0	1	15	4	1
0	10	14	7	5
0	10	18	6	6
1	11	3	16	7
0	5	17	10	19
1	11	13	14	3
0	8	18	8	12
0	3	13	12	12
1	3	11	8	1
0	12	13	1	14
0	10	10	12	1
0	3	8	12	16
0	13	16	8	16
0	8	10	19	1
1	10	9	19	7
1	15	2	6	9
1	18	12	2	11
0	4	12	18	7
0	10	11	10	7
0	9	5	4	17
0	1	18	1	7
0	10	17	3	3
1	2	1	14	5
