Resp	V1	V2	A1	A2
1	1	16	10	12
0	12	7	3	4
1	4	13	3	10
0	13	5	10	3
1	6	12	2	13
1	17	5	19	16
0	8	1	15	2
0	6	11	9	8
1	6	6	15	12
1	4	3	3	16
0	5	5	16	11
0	11	8	8	6
1	13	3	18	14
0	5	17	8	1
0	6	13	6	2
0	15	6	19	17
1	8	5	12	18
0	6	4	15	2
0	12	12	18	3
0	5	14	15	7
0	10	11	9	8
0	1	18	18	9
0	12	15	6	7
1	12	5	5	15
1	1	14	7	19
1	8	5	11	17
0	6	2	7	10
1	17	1	11	17
1	4	6	13	16
1	17	10	2	12
1	10	16	6	18
1	5	6	14	14
0	7	2	12	7
1	4	4	5	10
0	6	6	11	8
0	12	17	12	4
0	3	3	5	4
1	5	16	3	17
1	11	15	6	18
0	2	15	12	7
0	18	10	15	8
0	17	1	14	4
1	4	5	2	5
0	8	17	16	5
1	9	4	1	9
1	10	16	1	8
1	15	5	8	16
0	15	2	13	18
1	13	14	10	13
0	16	7	15	14
0	10	13	15	15
0	10	2	16	4
1	3	18	6	6
0	14	18	17	17
1	12	15	2	8
1	12	16	1	17
0	9	2	13	6
0	13	7	5	3
1	15	1	7	8
1	9	4	12	18
1	2	8	11	19
0	2	17	6	5
0	1	6	6	7
1	5	2	3	9
0	14	11	13	7
0	1	14	19	2
1	18	6	5	17
1	15	17	3	11
0	6	12	2	5
1	12	13	14	17
1	7	11	9	17
0	4	4	19	16
0	17	10	11	7
0	1	18	12	6
1	6	16	4	15
0	4	9	5	3
1	11	10	5	14
0	4	3	14	2
1	3	13	7	16
0	13	16	17	9
0	6	2	15	4
0	15	11	7	9
1	4	10	6	18
0	15	13	10	13
0	10	5	10	5
1	12	8	6	17
0	4	13	16	12
1	10	8	16	18
1	6	7	9	12
0	17	3	13	10
0	4	1	19	2
1	8	10	15	17
1	16	8	2	19
0	16	10	8	4
0	5	15	4	8
0	15	17	15	5
0	11	14	14	10
1	4	14	2	14
1	11	17	1	12
0	8	9	5	14
0	15	14	11	12
1	3	16	1	11
1	17	18	5	14
1	17	4	5	11
0	11	18	9	11
1	11	1	14	10
1	13	1	1	11
1	14	15	10	12
0	14	18	3	5
0	1	15	11	6
1	4	10	14	13
0	10	18	16	10
1	7	15	7	13
1	4	8	13	13
0	1	3	19	13
1	13	18	1	12
0	9	14	11	1
1	14	15	15	15
0	13	13	10	4
1	14	13	3	8
1	2	17	1	19
0	4	12	14	8
1	18	8	7	18
0	14	9	14	12
0	12	7	17	7
1	12	10	16	12
0	7	9	12	4
1	2	15	3	9
1	4	3	12	13
0	6	18	13	13
0	10	10	11	6
0	5	16	19	11
1	11	14	2	7
1	14	12	16	14
0	14	7	18	15
0	3	13	15	10
1	10	7	3	19
0	12	6	19	18
1	8	18	8	12
1	14	10	7	15
1	1	10	10	11
1	6	8	14	11
0	3	14	8	6
1	14	14	2	16
0	12	17	16	2
1	11	11	7	14
1	18	8	17	14
1	6	14	15	18
1	8	1	11	13
0	5	3	15	9
0	2	12	14	16
1	6	4	10	17
0	6	6	7	1
1	3	3	5	13
0	1	6	19	16
1	18	15	6	14
0	5	4	14	2
1	14	6	3	16
1	4	8	1	19
1	5	2	1	15
0	16	7	12	13
1	6	12	4	19
1	17	1	11	12
0	12	14	10	5
1	2	3	16	18
1	1	15	5	10
0	18	11	17	7
1	11	15	17	16
1	13	8	14	17
0	6	14	8	6
0	4	9	15	1
0	8	13	19	9
1	8	12	1	15
1	9	4	11	18
1	15	8	1	4
1	11	6	18	16
1	14	7	9	13
0	5	17	16	11
1	5	17	15	11
0	5	3	19	17
1	17	1	3	10
0	7	18	18	3
1	16	1	7	19
0	7	11	15	5
