Resp	V1	V2	A1	A2
0	3	18	7	14
0	7	8	9	11
0	11	13	1	7
0	12	7	10	19
0	1	18	3	4
1	11	6	1	10
0	7	10	3	19
0	3	3	2	14
0	4	17	1	3
1	2	18	19	5
0	18	4	2	13
1	14	14	12	5
0	5	15	8	1
1	8	11	6	7
1	9	7	17	7
1	2	4	12	2
0	5	8	9	18
0	4	6	17	17
0	13	14	16	9
0	6	7	12	13
0	7	7	15	19
0	5	16	11	10
1	13	10	17	1
1	8	10	12	7
0	4	13	11	7
0	9	7	15	17
1	12	15	16	3
0	1	12	8	14
1	14	2	4	2
0	3	13	9	3
0	6	4	5	12
1	13	5	18	7
0	2	3	4	14
0	12	1	2	12
1	4	9	16	13
0	10	6	18	17
1	12	2	17	12
0	3	15	15	17
1	9	14	7	1
1	11	15	16	18
0	8	17	19	7
0	15	4	4	11
1	16	4	9	1
1	5	12	13	3
1	17	15	16	5
0	2	17	5	18
0	4	1	4	19
0	6	16	14	18
0	13	12	12	17
1	7	1	9	5
0	7	11	13	13
1	18	16	5	11
1	16	13	9	4
1	10	9	1	2
1	1	3	6	10
1	16	11	9	8
0	8	12	8	3
0	3	13	15	17
1	18	13	10	8
0	8	17	11	5
1	15	5	16	5
1	15	4	19	17
1	17	8	16	3
1	17	9	10	19
1	4	8	6	11
0	10	5	5	15
0	16	8	1	18
0	4	12	7	1
0	8	15	3	7
1	2	6	18	10
1	8	2	12	1
0	5	16	8	11
0	7	15	13	4
0	10	18	19	19
1	9	14	3	7
1	4	6	14	1
1	10	5	18	9
0	7	12	17	16
1	8	2	1	16
1	18	7	14	7
1	18	3	6	9
0	17	5	12	13
1	8	15	1	9
1	12	11	14	13
0	13	17	13	15
1	3	4	14	5
0	11	11	16	10
1	16	9	17	15
1	16	11	19	2
0	1	14	3	15
0	8	14	3	19
0	10	10	11	16
1	3	10	10	2
0	18	5	2	13
0	14	4	10	16
1	16	4	18	12
1	2	10	15	12
0	8	18	1	10
0	9	12	18	15
0	5	15	14	10
0	1	10	1	2
