Resp	V1	V2	A1	A2
1	14	14	6	5
0	17	2	16	19
1	6	12	18	3
0	17	15	8	14
1	3	16	10	5
0	1	13	12	13
0	5	1	6	16
1	5	12	16	8
1	8	6	13	11
0	14	7	8	16
1	18	4	9	2
0	10	14	1	7
0	4	1	3	18
1	12	2	16	10
1	2	15	19	13
0	4	1	6	8
0	12	11	8	13
0	2	1	17	15
1	11	3	16	14
0	16	4	7	17
1	14	3	16	18
1	10	8	6	3
1	7	12	14	1
1	8	2	12	2
1	7	9	7	6
1	3	4	3	7
0	7	4	7	15
1	12	6	17	16
1	2	2	8	10
0	15	11	5	18
1	2	7	17	16
0	5	6	16	19
1	9	6	10	5
0	12	16	2	15
1	9	8	7	7
1	4	14	10	8
0	5	4	7	18
0	9	8	17	18
1	7	6	8	9
0	9	4	8	15
0	4	16	1	8
0	9	13	8	13
1	12	7	15	1
1	13	9	9	6
1	9	3	15	11
1	16	11	6	4
1	17	2	17	7
1	2	2	13	7
1	15	7	5	11
0	9	6	2	14
1	2	6	11	13
0	9	13	4	5
0	11	18	9	13
1	18	2	9	9
1	2	3	9	3
1	9	5	18	11
0	6	14	3	11
1	4	14	14	11
1	6	8	13	3
1	8	2	15	16
0	10	7	7	10
1	11	5	4	7
1	15	6	16	2
1	6	10	17	8
0	4	1	8	18
0	9	5	1	3
1	1	12	10	4
1	8	9	12	6
1	4	1	19	8
1	3	8	12	4
1	9	4	12	8
1	5	5	8	6
0	14	13	11	13
0	12	15	3	10
0	7	13	10	16
0	6	2	3	14
0	2	11	4	13
1	13	15	12	1
1	3	6	15	11
1	6	11	11	2
1	7	16	7	2
0	8	16	19	18
1	1	9	14	13
1	13	17	15	10
1	18	5	17	10
0	5	3	10	15
0	1	13	9	11
1	18	18	5	2
0	1	10	11	7
0	9	16	2	14
0	12	18	1	9
1	1	4	19	10
1	14	11	7	7
1	18	1	2	3
1	3	12	15	6
1	1	18	4	2
0	7	7	4	18
1	2	18	14	4
0	3	9	9	14
1	12	16	12	6
0	16	15	3	8
1	10	6	6	3
0	6	16	4	16
0	9	13	2	19
1	9	3	16	1
1	5	6	19	14
0	16	6	2	8
0	4	15	13	16
0	7	16	5	17
0	13	10	1	3
1	8	5	8	9
0	1	16	1	11
1	1	4	19	5
0	7	18	14	16
1	5	3	13	13
0	6	6	2	13
0	9	6	6	15
0	15	16	2	13
1	5	14	8	2
0	13	12	13	18
1	15	10	18	12
1	14	15	18	16
1	14	17	16	9
1	18	9	12	15
1	14	17	10	8
1	8	16	13	4
1	8	5	12	1
0	1	18	10	16
1	14	18	10	6
0	1	11	16	17
1	12	18	18	9
1	9	18	14	9
0	8	2	13	18
0	7	7	10	17
1	9	3	17	4
0	5	6	11	19
1	12	14	19	6
1	1	17	3	2
0	5	18	3	6
0	8	3	8	12
1	18	1	19	7
0	2	7	2	11
1	14	11	13	5
1	3	3	14	6
0	17	10	11	16
1	11	9	7	10
0	3	14	13	16
1	7	16	3	3
1	12	4	18	3
0	15	10	1	6
1	10	3	13	3
0	10	5	4	17
0	6	13	1	9
1	16	13	14	12
1	18	2	3	4
1	9	5	5	7
1	16	1	2	2
0	2	8	7	18
1	17	1	3	7
1	14	10	14	11
0	11	12	4	13
1	8	7	16	7
1	2	5	17	10
0	11	7	7	7
1	3	5	16	6
1	13	1	18	14
1	18	11	2	2
1	1	12	12	2
0	8	15	2	14
0	18	14	7	17
1	8	8	15	5
0	4	13	4	10
1	2	7	13	6
0	11	9	5	12
1	11	3	4	7
1	1	9	13	15
1	11	6	19	7
0	16	6	8	8
0	18	17	3	16
1	7	14	13	4
1	12	14	12	9
0	18	16	1	18
0	6	1	4	17
1	4	12	12	8
0	15	13	3	15
1	4	10	9	1
1	6	14	6	5
1	12	9	17	13
1	1	17	15	2
1	6	14	14	5
1	9	17	16	5
0	3	11	2	11
1	14	16	17	2
0	13	14	18	17
1	13	4	17	12
0	8	12	2	13
1	12	5	4	9
1	15	13	17	11
1	17	5	19	11
1	1	14	9	9
1	15	10	17	7
1	16	15	3	1
0	7	1	12	15
1	13	2	14	3
0	1	15	7	11
1	5	16	9	2
1	17	10	8	7
1	1	8	12	15
0	2	2	15	18
1	13	17	5	1
1	8	1	10	4
1	16	1	19	5
0	8	17	17	17
1	6	14	16	12
0	5	16	18	14
1	5	10	3	1
1	9	1	7	3
1	12	2	13	9
1	11	12	12	4
0	5	9	8	9
1	7	4	13	3
0	10	16	6	18
0	15	4	3	11
1	4	1	2	2
1	17	10	16	1
0	13	7	2	18
0	12	13	11	18
1	14	16	10	10
0	1	1	17	15
0	8	8	5	11
0	9	2	1	4
0	7	11	16	12
1	17	16	10	2
0	5	4	7	17
1	14	14	13	8
0	2	12	6	11
0	13	4	4	14
1	15	5	14	1
0	2	2	6	5
0	3	2	6	18
1	12	5	4	4
1	10	3	18	3
0	14	8	15	19
1	15	8	7	10
1	15	17	6	5
1	8	7	13	6
1	11	11	1	2
1	6	6	8	2
0	6	14	17	18
1	13	8	19	19
0	15	5	9	14
1	15	3	16	17
1	1	13	11	5
1	14	5	15	4
0	4	5	4	12
1	10	1	16	8
0	17	12	1	18
1	1	15	19	3
1	13	14	19	5
0	17	1	2	12
1	11	6	9	8
1	13	14	16	10
0	11	13	4	13
0	12	2	14	17
1	16	18	18	17
0	7	16	2	9
0	7	12	9	10
1	10	18	19	10
1	5	12	4	2
1	2	13	18	18
0	14	3	7	14
0	10	8	3	19
0	16	9	4	13
0	8	17	9	12
1	7	10	12	8
1	18	13	17	11
0	5	16	13	15
1	13	15	7	2
0	17	8	15	7
0	5	2	4	3
0	8	14	14	18
0	1	17	3	15
0	9	14	4	7
1	14	18	15	3
1	9	9	19	4
1	11	14	14	5
0	16	5	8	15
1	6	7	12	5
0	17	5	5	19
1	18	6	12	12
0	6	6	6	14
1	16	7	18	5
1	16	4	9	7
0	5	15	6	19
1	4	7	19	15
0	12	13	4	4
0	6	15	8	16
0	8	18	4	15
1	6	16	13	4
1	7	18	17	5
