Resp	V1	V2	A1	A2
0	1	16	9	16
0	12	14	11	10
1	17	5	15	4
0	17	17	14	17
0	12	17	14	11
1	4	5	17	1
0	8	4	6	12
0	15	17	14	9
1	12	8	12	11
0	5	2	10	19
0	10	5	14	14
0	9	2	15	4
0	4	5	15	16
0	9	5	4	17
1	5	7	10	8
0	2	11	14	18
0	1	12	10	10
1	16	10	13	4
0	7	9	7	16
0	9	5	6	19
0	14	13	12	11
1	2	2	14	5
0	3	9	7	18
0	4	14	14	17
1	14	5	13	15
1	16	12	10	11
1	1	13	18	14
1	14	4	10	12
0	8	15	1	1
0	10	15	9	18
0	6	9	15	17
1	18	12	19	14
0	5	3	5	16
1	8	8	16	10
0	5	12	12	9
0	5	15	1	16
1	12	3	15	2
0	7	4	4	17
0	3	14	17	18
1	9	12	14	1
0	14	18	13	18
0	15	9	10	19
0	10	17	5	14
1	2	6	13	6
1	12	13	5	1
1	14	11	18	15
1	1	14	18	1
0	10	16	3	1
1	16	1	6	10
0	1	3	12	19
0	4	8	19	13
1	8	4	18	1
1	16	3	14	19
0	2	8	6	18
0	3	16	8	17
1	1	1	9	4
0	14	16	1	19
1	18	3	2	17
1	13	5	19	14
1	16	3	5	11
0	18	5	13	18
1	6	15	6	16
1	7	14	7	11
0	3	7	4	16
1	7	8	4	9
0	15	14	17	19
0	11	13	3	9
0	1	4	4	13
0	11	18	17	12
0	15	10	7	4
1	18	4	15	17
1	14	4	13	1
1	5	2	16	11
0	2	12	12	15
1	7	2	6	17
0	12	15	14	18
1	13	9	5	4
0	8	15	10	10
1	8	2	18	16
1	14	15	15	5
1	7	2	8	4
1	10	4	13	2
0	10	16	4	16
1	16	12	18	2
0	13	15	6	15
0	11	15	14	13
1	18	10	7	15
1	5	14	17	2
0	17	18	9	1
1	8	5	10	8
1	12	14	9	9
1	2	16	6	3
0	12	18	19	17
0	6	17	10	12
1	4	12	2	11
0	8	17	1	12
1	1	14	19	6
0	4	6	1	3
1	10	5	18	4
0	17	6	8	15
0	15	15	7	10
1	1	16	18	1
0	17	5	1	16
1	17	6	12	8
1	1	12	13	9
1	12	6	8	3
0	11	1	16	11
0	16	13	5	11
0	11	10	17	15
0	4	15	9	15
1	2	12	1	1
0	4	18	7	1
0	1	18	5	7
1	1	4	17	9
1	11	8	13	16
0	17	1	17	16
0	1	3	13	11
0	10	13	5	3
0	10	7	7	7
1	17	11	5	13
0	8	15	10	13
1	5	2	17	7
0	1	14	5	11
0	14	18	1	19
1	12	13	13	5
0	1	4	3	19
0	5	4	4	13
0	7	16	2	17
1	12	13	7	5
1	6	1	4	1
1	8	3	12	5
1	6	17	16	10
0	9	18	4	14
0	17	18	15	10
0	3	13	12	17
0	15	4	17	7
1	2	10	9	1
1	7	17	15	11
1	7	3	4	6
0	11	7	1	8
0	14	5	4	18
0	11	1	6	13
1	16	13	7	9
1	15	7	4	5
1	4	18	5	6
0	5	1	8	11
0	5	13	11	14
1	15	4	12	8
1	17	4	19	4
0	12	5	10	4
1	8	3	15	8
0	14	11	3	10
0	18	14	10	8
1	1	12	10	4
0	5	2	8	14
0	6	5	14	1
1	12	13	11	9
1	17	7	13	6
1	18	9	5	5
0	10	13	11	14
1	15	16	14	16
1	11	5	13	17
1	6	1	14	2
1	15	13	12	10
1	18	6	13	14
1	10	8	14	2
1	7	12	4	1
0	13	10	13	16
1	10	8	2	10
1	4	14	12	2
1	10	2	18	6
1	9	14	5	2
0	14	18	7	12
1	10	7	6	5
1	11	13	18	8
1	13	16	17	9
1	2	1	9	2
0	11	5	18	18
1	6	18	17	17
0	17	16	4	14
1	15	12	13	16
0	15	8	8	17
1	4	1	5	1
1	14	13	19	5
0	9	1	11	18
1	17	8	19	16
1	16	15	18	9
1	17	10	4	2
1	15	7	16	17
1	14	8	19	8
1	4	10	3	2
1	10	8	7	1
1	13	6	15	4
0	14	10	9	18
0	11	6	11	19
1	9	3	14	2
0	4	9	4	11
1	8	1	17	10
0	11	18	16	11
1	11	1	11	4
0	16	17	1	15
0	13	16	7	7
0	14	16	8	15
0	9	12	5	5
1	4	8	1	13
1	13	17	18	3
1	12	1	12	18
0	7	12	2	18
1	2	1	19	13
0	5	15	13	19
0	18	11	3	16
1	4	1	6	3
1	15	8	6	14
1	18	8	9	3
1	1	2	14	17
0	3	17	12	12
1	16	15	6	17
0	6	18	16	14
0	3	10	17	19
0	7	17	19	17
1	12	8	8	5
1	7	15	19	9
0	10	13	7	9
1	8	17	19	3
1	7	1	10	1
0	3	12	14	6
0	6	15	1	5
1	1	2	12	7
0	5	16	8	12
1	9	10	18	7
0	11	6	3	17
