Resp	V1	V2	A1	A2
1	6	11	5	18
0	8	15	7	17
0	4	1	11	13
0	7	2	11	14
0	2	17	17	18
0	2	16	9	7
0	4	17	15	19
0	6	8	7	7
1	7	11	17	7
0	14	15	1	17
1	2	9	11	2
0	1	4	2	7
1	14	6	15	15
1	7	5	8	9
0	9	8	10	14
0	9	12	12	10
0	14	4	6	11
1	3	13	11	3
1	8	7	15	10
1	7	6	16	7
0	6	4	3	16
0	6	16	5	14
0	12	15	7	14
0	13	3	2	11
0	7	18	1	3
1	16	6	17	15
1	17	18	16	13
0	8	16	1	19
1	4	2	14	6
0	9	15	4	15
0	7	5	10	16
1	17	16	13	16
1	3	2	5	6
0	12	18	7	1
1	12	4	12	12
1	18	6	4	4
0	10	16	10	2
1	12	7	11	9
0	2	13	7	19
0	13	12	7	6
1	13	5	15	14
0	3	16	13	8
1	15	15	12	13
0	12	15	9	19
0	2	13	7	14
0	9	11	12	10
1	1	5	1	6
0	18	8	10	18
1	2	8	7	2
0	12	4	3	18
0	8	9	7	2
1	17	11	12	9
0	9	15	2	5
1	12	1	17	12
1	15	9	11	4
0	9	14	10	4
0	5	13	9	2
1	16	5	12	14
0	3	12	19	4
0	7	12	13	19
0	3	17	13	8
1	2	12	9	6
1	12	7	17	10
1	10	1	14	9
1	1	6	8	3
1	7	2	11	6
1	3	3	17	3
1	11	2	11	16
0	5	1	7	7
1	11	5	5	6
0	2	7	5	19
0	5	10	3	3
0	8	10	17	19
0	2	13	2	18
1	14	14	14	11
0	2	10	5	17
1	16	14	16	10
1	8	14	4	2
0	3	15	5	1
0	18	17	3	14
0	7	11	5	17
0	17	18	18	2
1	11	8	6	19
0	1	9	14	18
0	11	9	3	19
0	2	16	15	15
1	18	14	3	5
0	8	15	1	8
1	3	3	10	1
1	12	14	16	7
0	15	10	11	10
1	16	13	12	10
1	17	10	11	3
0	2	12	2	12
1	10	7	5	1
1	7	9	13	7
0	9	4	15	19
1	9	9	11	3
0	13	18	17	7
1	16	1	16	6
1	11	3	13	18
1	18	11	13	4
0	15	16	3	15
0	7	4	9	7
0	12	11	8	10
0	9	18	6	14
0	7	2	4	18
1	15	2	8	16
0	1	18	17	18
1	18	17	11	13
0	4	12	8	10
1	3	3	17	1
1	10	3	11	4
1	9	5	13	8
1	7	8	19	13
0	14	15	18	16
1	16	14	13	18
1	12	3	9	13
0	4	14	18	16
1	16	6	12	10
0	11	8	4	10
0	5	12	11	17
0	4	5	15	14
1	18	1	4	7
1	8	8	7	9
1	17	12	7	10
0	4	12	12	5
1	15	4	4	19
1	4	5	15	5
0	6	3	5	11
0	12	16	8	6
1	9	9	15	12
1	8	1	6	3
1	15	4	16	2
0	12	11	11	14
1	9	5	8	12
0	10	13	4	2
1	10	9	12	1
0	7	16	4	8
1	2	3	16	11
1	18	3	8	5
0	2	17	16	6
0	15	18	4	13
1	13	1	8	19
0	15	14	13	5
0	11	15	14	4
1	11	4	19	1
0	8	7	10	17
0	8	10	10	17
0	7	6	2	6
0	13	18	19	10
1	14	7	12	1
0	9	10	5	18
1	3	9	14	5
0	14	17	13	19
1	18	12	5	7
0	3	5	7	15
1	14	2	18	9
1	17	9	11	18
1	15	7	13	11
1	7	3	13	9
1	2	8	15	12
1	11	12	2	4
0	11	16	18	17
1	1	4	5	4
1	10	3	8	4
0	9	10	11	18
0	5	4	17	15
0	2	17	9	5
0	7	10	5	13
0	3	14	10	5
0	8	6	6	6
1	6	4	17	19
1	7	1	13	2
1	4	6	11	1
0	4	16	8	9
1	12	5	19	7
0	5	15	16	13
1	10	8	5	1
1	9	3	16	14
1	2	6	18	19
1	17	8	6	7
1	1	3	19	17
0	11	18	11	1
0	3	7	6	14
0	1	3	7	9
1	12	11	12	4
0	17	12	4	9
1	3	1	11	7
0	1	13	9	4
1	10	1	3	17
0	10	15	14	1
1	11	13	19	9
0	5	7	12	14
0	15	18	13	11
1	12	6	6	1
0	8	13	3	7
0	1	16	9	6
0	2	16	8	7
0	7	17	16	10
1	13	8	19	4
0	12	11	15	4
0	5	7	4	17
0	1	8	7	16
1	18	15	11	1
1	13	1	6	7
1	3	7	15	10
