Resp	V1	V2	A1	A2
1	18	4	12	11
0	7	5	7	8
0	4	10	16	15
0	4	17	4	12
0	9	15	17	4
0	3	8	11	15
0	10	10	2	1
0	2	8	18	10
0	1	7	12	9
0	1	18	15	1
0	4	15	6	14
1	15	9	13	12
0	1	9	1	1
0	10	4	1	17
0	6	13	3	4
1	16	9	15	17
1	17	11	16	5
1	5	4	9	5
0	8	3	7	8
0	5	18	12	2
0	4	14	3	15
0	2	14	19	15
0	2	17	16	13
1	5	1	4	9
1	6	1	12	11
0	10	14	2	7
1	16	15	17	11
1	16	14	5	1
1	3	1	8	13
1	17	13	19	1
1	10	9	18	15
1	18	10	6	4
0	4	16	7	9
1	8	4	6	10
1	14	4	15	1
1	17	16	14	15
0	10	11	5	2
1	15	6	11	13
1	12	5	5	7
1	11	2	17	15
1	2	3	14	1
1	11	12	11	3
1	9	6	15	17
0	11	16	18	13
1	8	4	15	5
1	13	8	10	12
1	18	12	5	16
0	11	10	13	9
1	6	8	13	3
0	3	11	17	5
1	14	5	2	3
1	14	7	16	1
1	12	11	19	3
1	14	7	12	2
1	14	7	12	18
1	10	3	9	19
0	15	16	4	13
0	12	15	6	2
1	2	2	7	2
0	6	3	6	19
0	1	12	15	18
1	15	4	18	13
1	13	3	14	2
1	2	2	11	5
0	1	4	10	19
0	9	12	9	8
0	2	17	6	15
1	9	7	8	9
1	13	8	18	11
1	13	5	19	15
0	15	17	9	1
1	14	4	9	16
1	11	7	6	4
1	9	6	17	19
1	14	1	12	5
0	10	17	9	4
1	18	11	15	11
1	2	6	11	5
0	7	16	16	6
1	13	2	6	13
0	9	14	7	7
0	1	6	1	2
0	5	1	7	16
1	17	3	7	10
1	16	9	19	11
1	4	6	17	6
1	16	7	16	15
1	3	6	5	7
1	17	9	16	17
1	16	2	12	3
0	10	18	5	7
1	13	5	3	11
0	8	9	7	7
1	17	3	1	13
1	17	7	16	5
0	7	15	12	1
0	14	16	11	15
1	14	12	8	9
1	16	6	18	8
1	17	4	10	13
0	11	9	1	3
0	9	12	17	1
0	5	11	12	8
0	9	12	1	18
0	11	15	1	7
1	14	9	11	16
1	3	2	15	12
0	9	4	7	18
1	4	2	14	14
0	6	17	15	12
1	13	1	14	12
1	12	2	6	10
1	12	6	4	14
1	14	7	3	9
0	2	16	9	14
0	6	7	10	13
1	17	10	11	1
1	14	3	6	3
1	10	6	7	1
0	3	18	13	10
0	1	18	7	14
1	15	6	9	1
0	1	15	17	8
0	9	16	7	7
1	8	1	19	2
1	16	7	7	8
0	4	9	8	2
0	4	11	12	17
1	11	7	7	9
0	1	3	14	18
0	5	13	7	14
0	2	14	17	16
0	4	16	18	5
0	9	7	17	16
0	4	16	15	10
0	2	13	3	17
1	15	5	9	14
1	17	13	11	14
0	7	9	4	10
0	13	18	2	12
0	5	6	12	5
1	17	1	19	11
0	3	6	14	11
0	2	13	3	3
1	12	8	12	16
0	8	13	11	8
0	9	13	11	19
0	9	11	7	5
0	11	13	5	8
0	8	10	13	17
1	14	5	8	16
0	18	16	11	13
1	18	5	2	15
0	6	11	10	7
0	13	10	13	16
0	8	7	4	10
0	1	15	14	19
1	9	4	16	12
0	11	14	15	13
0	1	13	16	6
0	14	14	12	4
0	14	10	4	14
1	11	9	9	13
1	17	1	11	12
0	8	18	17	12
1	18	8	14	15
1	2	8	6	4
0	12	13	17	7
1	13	12	18	9
1	8	11	12	1
1	18	5	13	17
0	3	1	5	14
1	15	10	18	17
0	13	16	8	2
0	12	18	10	8
0	18	16	5	16
0	12	15	17	10
1	14	12	9	10
0	18	11	3	13
1	7	9	5	4
1	12	10	8	14
0	6	14	3	15
1	6	4	6	15
1	10	5	8	12
1	12	2	15	11
0	2	7	8	6
1	14	8	14	10
0	7	8	15	19
0	17	17	9	16
1	17	8	19	8
1	16	12	16	6
0	12	14	6	13
0	15	8	18	19
0	8	17	9	16
0	2	16	13	12
1	1	4	5	12
0	4	8	18	13
1	7	4	9	7
1	17	10	7	15
1	9	2	17	1
0	9	8	7	11
0	5	16	13	10
1	9	6	5	15
0	11	13	16	8
0	8	16	18	7
1	3	3	6	9
0	1	2	6	15
1	2	7	1	1
0	1	11	13	11
0	11	15	8	8
0	6	12	16	17
0	9	11	1	7
0	4	2	15	4
0	1	8	7	13
0	9	17	1	2
1	18	4	11	19
0	8	10	6	4
0	6	18	8	14
0	10	5	13	14
1	14	14	7	2
0	18	14	4	9
0	8	15	11	1
0	6	11	16	18
0	8	10	10	15
1	16	1	13	12
1	10	7	19	4
1	16	11	4	19
1	14	10	11	15
1	11	1	6	16
0	10	17	11	8
0	7	13	6	10
0	3	3	3	8
0	3	15	12	5
0	17	14	6	17
0	6	12	18	16
1	15	5	17	14
1	14	12	18	17
0	2	10	13	11
1	12	10	15	13
1	14	9	11	8
0	7	18	14	13
1	15	2	17	12
0	1	6	3	4
1	11	10	18	19
1	13	4	3	13
1	14	15	9	3
0	1	18	1	3
1	14	12	18	5
