Resp	V1	V2	A1	A2
1	11	15	12	7
1	12	18	17	9
1	16	7	15	6
0	15	17	6	14
0	6	2	8	19
0	11	18	8	10
1	10	15	17	12
1	7	15	7	6
0	5	10	8	16
0	10	10	1	17
0	4	12	6	19
0	4	3	15	19
0	12	8	1	5
1	11	15	16	10
0	8	3	11	16
0	8	9	5	10
1	4	4	17	8
1	4	10	18	4
1	5	14	13	5
0	18	17	17	19
0	5	15	4	10
1	4	12	18	16
0	8	13	12	10
0	11	10	2	13
0	13	4	2	11
0	15	1	4	17
0	11	5	10	16
1	16	18	16	11
1	16	5	15	1
0	7	9	1	15
0	7	4	8	15
1	17	16	2	7
1	16	3	12	12
1	4	16	19	4
1	4	5	12	12
0	9	10	4	14
0	10	7	14	15
1	6	9	19	6
1	17	6	19	2
1	10	1	7	7
1	7	5	11	5
0	18	5	4	5
0	1	11	6	4
1	4	12	6	3
0	16	15	7	8
0	10	11	3	5
1	3	8	19	11
1	13	16	19	18
1	2	4	7	1
1	15	8	9	3
0	11	16	1	3
1	15	8	13	11
1	5	5	5	3
0	15	17	16	15
0	11	1	14	19
0	8	9	5	19
1	3	2	10	5
0	13	14	3	11
0	10	3	16	15
0	10	10	14	17
0	11	9	12	14
0	2	8	15	10
0	17	7	6	18
0	11	13	18	18
0	16	4	15	14
1	8	11	13	3
0	7	9	8	18
1	3	16	6	2
1	10	1	12	2
0	3	10	3	10
1	10	14	8	1
0	2	17	3	16
0	4	14	15	16
0	3	3	11	12
1	18	9	6	8
0	11	16	6	13
1	10	3	14	4
1	3	10	16	5
1	8	4	11	13
0	15	4	7	9
1	18	10	17	2
0	8	4	7	12
1	12	7	18	13
0	12	16	5	17
0	7	5	1	16
1	3	6	16	4
1	7	6	16	5
0	3	16	3	12
1	9	3	9	4
0	8	2	6	11
0	18	11	4	16
0	3	16	6	12
0	7	12	2	11
0	1	5	2	12
0	4	1	4	15
0	1	13	11	19
0	9	16	4	16
0	3	8	10	17
1	16	6	15	9
0	9	5	6	9
1	13	4	8	8
1	18	13	19	8
1	10	2	8	7
0	15	10	15	15
0	6	8	4	9
1	14	13	19	3
0	1	13	7	17
1	18	6	12	6
0	18	16	7	12
1	3	2	15	12
0	9	1	4	10
1	8	13	5	2
0	16	18	2	15
0	16	7	9	16
0	13	8	10	10
0	15	2	11	8
0	14	9	1	10
1	9	12	16	13
1	9	6	12	3
0	9	14	17	5
0	10	18	16	18
0	17	13	4	18
0	5	12	2	15
1	14	15	12	2
0	9	7	9	12
1	15	14	19	14
0	16	8	11	18
1	7	4	16	9
1	17	16	15	4
0	9	8	1	3
1	10	14	14	6
0	6	9	2	15
0	12	8	10	13
1	6	16	11	2
1	16	7	13	4
0	8	14	7	13
0	8	16	5	6
0	2	14	10	3
0	13	10	4	15
1	17	12	14	5
0	18	3	1	4
0	16	1	6	16
0	5	7	6	4
1	12	18	2	4
1	13	7	10	3
0	18	5	11	15
0	18	7	6	10
0	3	2	10	10
1	17	10	16	7
0	16	17	10	6
1	8	14	17	2
1	9	15	17	1
0	16	16	15	17
1	1	11	8	4
1	15	8	15	9
0	14	17	14	15
1	14	7	9	10
1	18	18	19	12
0	5	16	17	18
1	12	3	10	10
1	17	7	4	7
0	9	11	6	10
1	12	10	18	2
1	12	5	15	8
1	9	5	18	5
0	4	14	5	18
1	1	15	4	6
1	3	18	14	1
0	8	18	3	2
1	11	17	15	8
1	10	8	9	4
0	12	17	1	19
1	12	3	11	3
0	16	12	12	18
1	7	13	9	3
1	18	9	16	3
0	4	18	19	15
0	6	6	1	12
