Resp	V1	V2	A1	A2
1	10	15	2	5
0	15	5	4	14
1	2	1	2	7
1	17	9	5	7
1	10	16	15	9
0	12	15	13	5
0	15	1	12	12
1	8	15	5	19
1	11	17	13	16
1	4	9	13	11
0	13	8	14	4
1	2	4	4	12
0	9	9	15	14
0	13	6	12	4
1	6	4	2	13
0	11	7	1	6
1	3	3	16	11
1	5	18	1	9
0	16	13	1	9
1	16	14	8	15
0	11	11	15	11
1	6	18	4	6
1	2	16	6	19
1	11	12	17	7
1	10	13	8	17
1	8	17	12	1
0	3	2	14	2
1	15	18	15	17
1	4	11	4	11
1	5	12	2	7
0	17	6	11	13
0	16	10	9	16
0	9	5	10	2
0	15	6	10	3
0	17	5	10	4
1	4	3	7	9
1	15	16	6	18
1	12	14	18	15
1	8	18	11	13
0	14	7	15	9
1	5	14	19	10
0	9	3	16	6
1	8	14	19	4
0	13	8	15	18
0	18	8	4	3
1	11	4	11	13
1	17	18	15	5
0	10	7	13	14
1	13	14	11	17
0	16	3	3	11
0	11	11	9	2
0	14	9	19	6
1	2	12	10	14
0	12	7	19	2
1	4	12	2	2
0	17	15	19	12
0	18	5	16	9
0	11	4	19	4
1	5	10	17	16
0	10	6	10	14
0	15	7	19	16
1	5	13	16	15
0	11	9	15	1
1	5	17	4	17
0	9	6	3	19
1	9	15	8	1
0	18	2	15	1
1	11	14	14	5
1	8	16	18	15
1	4	4	7	10
1	5	12	18	6
1	14	17	2	6
0	9	4	16	3
1	8	15	17	15
0	16	11	12	5
1	7	12	15	3
0	7	6	13	8
1	5	13	7	12
0	17	10	1	18
0	2	1	12	2
0	17	6	17	1
0	18	13	16	15
0	8	3	19	2
1	18	13	1	2
1	7	10	1	19
0	17	11	17	1
1	15	17	3	14
1	15	15	6	19
0	8	7	19	16
0	14	1	11	12
1	2	15	4	16
0	6	2	12	14
1	17	18	2	11
1	6	6	4	9
1	18	12	7	7
1	9	8	14	7
1	11	18	4	13
1	11	16	13	18
0	10	3	10	3
1	15	11	18	17
1	12	10	5	17
1	7	11	2	1
