Resp	V1	V2	A1	A2
1	13	2	7	3
0	3	2	11	4
0	13	11	6	17
0	3	5	3	17
0	13	13	11	12
1	16	1	8	8
0	2	16	17	9
0	16	14	13	4
0	14	18	16	2
0	11	6	15	15
1	1	5	7	5
1	12	1	13	4
1	18	11	7	19
0	11	13	8	15
1	15	4	14	5
0	14	16	16	14
0	13	17	18	4
1	14	6	2	13
1	14	12	14	6
0	2	12	10	16
0	8	5	1	2
1	16	11	15	2
0	5	8	8	3
0	14	12	15	10
1	9	8	10	5
0	10	7	1	12
1	16	2	10	5
0	10	14	9	19
0	5	11	1	16
1	2	2	4	14
0	11	10	5	19
0	3	12	6	1
0	4	8	17	15
1	10	8	14	18
0	4	11	10	9
1	12	1	6	8
1	12	9	11	18
0	9	17	18	15
0	2	5	6	9
0	1	8	10	13
0	8	14	4	4
0	15	17	16	16
0	10	14	2	3
1	7	6	19	13
1	9	10	18	1
1	15	9	13	16
0	9	12	12	5
0	10	13	17	7
0	3	17	1	14
0	7	10	17	14
1	3	6	15	19
0	4	3	10	18
1	9	7	14	11
0	4	12	10	5
0	5	12	17	19
0	2	15	9	9
1	3	6	16	2
0	13	17	12	9
1	8	3	5	6
0	2	6	16	18
0	7	14	9	18
0	3	9	13	6
1	16	5	10	1
0	6	11	3	8
1	7	4	16	3
0	15	16	13	11
1	12	6	4	13
1	5	4	9	9
0	9	15	19	8
0	2	15	13	14
1	16	6	15	13
0	4	15	2	2
0	8	9	13	18
0	5	18	4	15
0	3	8	12	5
1	16	2	17	5
1	12	8	11	1
0	11	15	12	5
1	3	5	10	5
0	1	1	18	13
0	5	8	17	7
0	14	14	17	3
1	11	8	7	15
1	13	4	10	6
1	18	6	2	6
1	12	6	14	16
0	11	10	19	4
0	6	11	2	4
1	12	11	16	11
0	9	13	7	6
0	1	18	15	19
1	1	1	18	5
0	14	18	7	11
0	7	11	9	12
0	2	6	19	14
1	9	4	10	7
1	2	5	15	14
0	2	7	11	3
0	10	12	5	6
0	2	13	2	5
0	3	8	16	10
0	17	12	13	12
0	13	18	9	16
0	2	11	12	1
0	2	5	4	6
1	14	5	7	17
0	5	5	13	3
0	2	8	3	5
0	8	17	8	3
0	17	17	7	15
1	17	2	5	5
0	8	8	15	16
0	10	13	7	2
1	17	3	4	10
1	14	9	5	4
1	16	7	5	18
0	8	11	10	4
1	14	4	8	5
1	18	10	8	5
0	5	14	18	8
1	2	4	4	3
1	18	2	11	14
0	16	15	8	8
1	17	11	18	4
0	2	8	13	9
0	10	14	12	6
0	4	12	7	13
0	1	13	8	12
1	7	1	11	14
0	15	14	18	11
0	5	14	16	8
0	12	11	6	6
0	10	17	11	5
0	16	15	8	1
1	8	6	16	1
0	11	6	3	6
0	1	14	9	3
1	15	11	7	9
0	5	5	18	7
0	8	18	2	17
1	14	11	3	3
1	17	5	15	6
0	7	15	10	1
0	13	11	4	15
0	15	13	9	14
1	16	13	10	6
0	4	7	14	6
0	10	10	17	5
1	18	6	17	11
0	10	18	11	6
1	14	9	15	17
0	9	13	10	13
1	17	1	2	2
0	8	10	13	19
1	4	5	17	4
0	4	16	10	4
1	2	6	7	10
0	6	13	12	16
0	12	16	2	12
0	6	10	15	11
1	15	12	6	16
1	13	4	11	4
1	16	5	13	2
1	1	8	8	9
1	16	7	17	4
0	9	13	6	16
0	5	18	15	18
0	3	6	16	13
0	13	17	8	14
1	12	6	19	14
0	9	14	6	17
1	18	6	9	15
0	6	15	13	19
1	10	2	11	3
0	3	8	16	8
0	5	16	9	8
0	4	8	3	5
0	8	18	15	3
0	8	2	15	19
0	17	16	4	6
0	1	3	3	9
0	6	14	12	18
0	1	5	5	11
0	7	4	13	9
1	11	1	2	4
0	11	17	5	6
0	9	13	9	3
0	8	16	19	18
0	12	16	14	10
0	1	18	17	17
1	17	11	9	10
0	3	14	11	10
0	7	12	3	10
1	17	7	18	8
1	16	7	7	7
0	12	13	15	5
0	17	15	11	9
0	1	9	17	8
0	15	13	3	12
0	3	9	15	6
