Resp	V1	V2	A1	A2
1	7	18	8	19
1	6	15	8	16
0	15	17	19	10
0	18	11	5	9
1	3	18	5	14
1	11	2	1	5
0	11	5	12	5
0	8	10	16	8
1	13	1	10	12
1	4	7	17	14
0	11	11	15	5
0	11	5	19	11
1	1	15	16	13
0	2	16	19	6
0	13	17	13	3
1	9	18	1	13
1	8	6	17	16
1	13	16	11	15
1	5	16	17	17
1	8	5	4	17
0	16	11	5	2
1	17	10	10	18
1	17	3	4	15
1	1	17	4	10
0	11	8	13	6
1	18	11	3	15
0	14	18	11	3
1	17	1	8	15
0	6	1	9	1
0	13	10	16	7
0	10	11	12	2
0	17	3	15	5
1	1	12	5	14
0	5	17	3	7
0	14	17	2	3
1	11	9	2	16
1	18	3	10	13
1	18	16	4	15
1	2	2	14	13
0	2	11	19	10
0	13	9	18	2
0	10	15	3	5
0	15	9	6	2
1	11	1	6	9
1	16	2	7	19
0	18	11	15	10
0	11	5	19	10
0	5	12	6	3
0	3	17	4	1
0	11	16	17	10
0	7	5	3	1
1	4	12	2	5
0	7	18	9	4
0	2	12	17	13
0	5	2	13	9
1	4	14	1	18
0	14	9	7	2
1	4	16	8	7
0	5	14	17	2
0	5	3	16	10
0	1	1	11	8
1	17	8	8	13
0	18	7	14	5
0	3	6	8	2
1	9	7	7	16
1	14	17	1	6
0	11	11	14	11
1	12	11	8	17
0	18	4	18	13
0	11	18	8	4
1	5	18	3	7
1	3	1	3	8
0	18	18	19	9
0	9	11	6	1
0	7	6	9	6
0	17	14	12	6
1	7	6	7	9
0	1	12	18	15
1	1	7	1	5
1	8	12	2	12
1	9	9	18	14
0	12	17	19	14
0	3	5	17	2
0	9	6	8	1
0	1	10	10	5
0	2	11	18	5
1	15	9	11	17
1	11	2	14	10
1	15	15	6	17
0	3	18	14	8
0	5	1	14	8
0	8	2	6	1
1	4	2	2	6
1	14	13	11	13
1	1	3	11	12
1	5	10	11	18
1	8	3	5	15
1	11	6	1	8
0	12	13	9	1
1	3	6	12	8
0	15	6	19	13
1	8	3	5	12
0	14	9	7	6
1	9	2	11	18
1	4	8	10	15
1	13	17	3	16
0	9	8	19	19
0	16	2	17	12
0	13	13	13	12
0	13	10	5	6
1	13	12	2	10
0	1	10	11	1
0	18	6	12	7
0	12	14	3	2
1	14	17	2	12
1	17	3	1	13
0	13	14	15	7
0	10	18	4	4
1	5	18	5	18
1	14	14	3	18
0	12	8	12	4
0	7	17	5	16
0	16	16	16	2
0	2	18	19	10
1	12	2	13	11
1	11	5	3	14
0	4	14	10	4
1	12	8	5	10
0	14	5	18	11
1	2	15	13	18
1	16	17	7	17
0	13	10	6	11
0	12	17	13	1
0	13	11	17	1
0	14	4	18	4
0	14	7	3	3
1	9	16	15	11
1	5	11	4	16
0	3	15	9	4
1	8	14	11	16
1	6	11	13	18
0	6	7	3	8
1	7	5	17	14
0	9	13	4	2
1	5	9	4	19
0	10	16	16	13
0	2	2	16	6
0	7	9	3	2
1	3	7	1	9
0	8	2	18	11
1	5	5	7	11
0	17	17	16	13
0	11	8	19	6
1	16	9	3	9
0	5	6	18	12
1	16	3	4	9
0	4	18	14	13
0	2	1	15	12
0	17	17	9	2
0	18	17	1	1
1	16	8	1	17
1	12	7	2	7
1	13	18	5	17
1	17	6	1	13
1	7	18	4	4
1	7	6	19	11
0	5	8	16	16
0	12	14	6	4
0	5	18	4	2
1	3	9	14	16
0	15	3	15	5
1	3	17	13	19
0	7	15	11	9
1	14	14	13	18
0	13	8	13	12
0	6	16	12	2
0	3	15	17	2
1	13	6	9	10
0	6	12	19	13
0	14	1	12	11
0	6	12	19	6
1	7	14	3	17
0	8	2	19	7
1	11	7	2	9
0	4	8	11	6
1	6	15	9	19
0	15	6	7	1
0	8	15	18	6
1	5	3	11	15
1	4	15	9	18
0	11	11	14	5
1	10	11	9	10
1	18	6	9	19
1	17	5	1	6
1	8	11	7	17
0	7	5	2	2
0	10	14	19	2
0	16	18	7	1
1	17	14	4	19
1	3	2	3	12
0	6	8	5	7
1	3	15	13	12
1	4	12	9	9
1	6	14	4	13
1	16	9	16	17
0	15	17	17	14
0	7	4	17	8
1	16	3	11	17
0	10	3	14	6
0	5	3	13	4
0	5	16	18	9
0	11	8	15	7
0	7	3	18	4
0	2	1	17	5
0	3	6	17	11
1	8	9	4	17
1	6	2	10	9
0	4	13	14	6
1	16	9	14	15
1	13	12	5	10
0	3	1	9	1
0	2	3	9	5
0	15	18	14	5
1	15	4	3	12
0	17	4	15	1
0	18	10	8	4
0	14	10	10	1
0	14	11	14	6
1	9	14	11	16
1	13	6	4	19
0	3	1	14	2
0	10	7	10	1
0	13	16	7	2
1	14	11	6	10
1	12	1	15	19
1	6	5	9	10
1	5	3	8	12
1	12	12	2	12
1	11	11	12	16
