Resp	V1	V2	A1	A2
1	3	7	14	11
0	5	4	17	1
1	4	4	5	9
0	5	18	9	2
0	18	3	16	17
1	13	5	6	19
0	17	17	10	3
0	11	4	16	2
1	17	3	14	17
1	6	17	13	11
0	12	14	15	5
0	18	1	2	16
0	8	1	18	5
1	11	11	10	19
1	3	11	8	8
1	6	18	11	3
0	16	7	7	4
1	6	17	6	19
0	18	9	8	4
0	18	13	10	9
0	15	3	13	1
1	3	13	5	10
1	5	14	6	7
1	10	10	14	16
0	11	18	19	1
1	15	15	13	11
0	12	1	6	5
0	2	6	17	8
0	14	10	8	1
1	6	10	5	11
1	2	3	1	5
0	2	5	13	3
1	7	5	1	11
1	3	12	15	9
1	18	14	14	15
0	14	7	15	17
1	4	15	7	8
0	17	2	16	8
0	15	16	3	3
1	2	15	6	6
1	15	11	2	16
1	1	9	18	16
1	7	13	4	12
1	1	17	10	16
0	1	6	11	7
0	14	9	15	8
1	11	17	2	18
1	11	6	7	7
1	4	9	13	13
1	8	6	3	6
0	8	16	19	4
0	14	7	10	5
0	13	5	12	9
1	4	10	7	16
0	11	6	18	4
0	14	4	17	11
1	16	7	14	19
0	18	13	16	18
1	2	3	4	13
0	3	4	11	3
1	5	12	4	7
1	15	9	15	15
1	11	12	8	11
1	15	14	4	5
1	12	18	4	4
0	11	9	15	10
1	2	13	14	17
0	17	4	11	6
0	14	6	14	12
0	18	14	15	7
0	15	16	11	9
0	13	2	17	15
0	7	2	3	1
0	18	11	10	7
0	16	12	7	19
0	9	8	15	17
1	4	12	5	1
0	5	2	19	4
0	8	5	9	8
0	9	4	16	3
0	2	1	7	8
0	7	8	16	4
1	1	8	7	19
0	17	18	10	6
0	18	13	1	16
0	18	4	12	15
1	18	13	10	19
0	2	9	6	2
0	12	2	13	14
0	11	9	16	13
1	13	5	1	14
0	9	1	10	1
0	11	5	5	6
0	10	7	4	4
1	5	2	9	10
1	2	17	9	7
1	6	13	1	3
0	18	6	15	9
1	9	9	6	14
1	18	18	2	11
1	2	2	7	13
1	9	12	12	9
0	7	6	7	17
0	5	4	16	6
0	12	7	10	10
0	17	1	3	11
1	3	16	10	1
0	14	12	9	5
0	4	6	11	3
1	16	18	6	4
0	12	3	12	12
0	11	5	17	15
1	13	13	5	16
0	16	8	18	10
1	2	4	16	16
0	4	14	18	7
1	16	13	1	18
0	3	18	7	18
1	1	4	9	19
0	18	17	2	1
1	9	13	3	15
1	3	18	10	9
0	5	8	12	4
0	6	6	16	6
1	3	2	5	11
1	7	12	8	8
1	4	11	4	2
1	2	13	4	5
1	9	2	9	17
0	15	14	18	5
1	9	17	18	17
0	8	18	15	2
1	16	15	17	16
1	4	3	16	17
1	5	1	11	17
0	11	3	19	6
0	3	1	11	6
1	7	10	1	6
0	14	14	17	2
1	18	2	6	16
1	12	1	11	16
0	17	13	13	11
1	8	5	16	15
1	4	3	7	8
0	4	11	7	1
1	6	15	1	6
1	13	8	3	18
1	6	1	1	2
1	17	3	5	15
0	17	11	10	17
1	15	13	2	5
1	4	2	5	10
1	4	8	2	7
1	12	13	4	3
0	15	15	16	5
1	4	15	15	9
0	6	12	11	7
1	7	6	8	12
1	16	12	2	8
1	4	16	5	2
1	9	11	2	3
1	7	18	1	3
0	5	13	18	6
0	12	17	19	6
1	7	12	12	7
0	5	3	19	6
0	8	8	9	4
1	11	4	18	17
0	14	11	19	9
0	17	13	9	5
0	9	4	17	9
0	14	16	18	6
1	1	14	3	16
1	4	12	8	13
0	14	9	10	6
0	18	3	13	6
1	8	13	19	19
1	8	11	17	14
0	18	8	4	12
0	14	2	17	11
0	18	18	14	9
1	12	17	3	3
1	4	5	1	7
0	9	10	10	3
1	10	9	12	13
1	3	6	1	19
1	14	1	2	18
1	3	9	8	10
0	18	3	16	2
0	13	15	17	3
0	5	7	12	8
1	5	14	8	19
0	10	12	19	7
1	9	10	7	10
0	10	3	10	7
1	3	17	8	9
1	1	15	14	13
1	11	16	11	17
1	6	11	2	6
1	4	2	15	18
1	9	18	17	3
0	1	2	12	2
1	3	14	17	19
1	12	18	16	9
1	7	12	8	12
1	5	11	11	10
0	3	10	8	1
1	2	11	10	8
1	6	8	2	19
1	16	12	11	16
1	5	16	17	7
0	8	9	17	9
1	2	3	2	3
1	2	7	5	8
0	8	5	19	10
0	11	4	10	5
0	12	9	18	8
1	11	3	18	16
0	18	12	17	5
1	1	16	19	18
0	2	6	16	5
0	15	3	1	14
1	10	14	3	16
1	3	8	8	17
1	2	2	6	15
1	8	17	15	17
0	12	3	13	17
0	1	11	18	5
0	14	3	1	8
1	12	10	11	15
1	1	10	7	6
0	15	11	18	12
0	15	5	5	5
1	5	17	9	14
0	8	3	9	5
1	2	17	2	4
0	17	1	14	11
1	1	11	5	16
1	7	7	2	12
0	11	7	17	3
1	13	17	13	19
1	3	2	5	15
1	5	18	6	9
