"scale","level","subID","sub.gender","masc.femi","task"
"115",0.0230414122054003,"fac_4",7,"male","masc","voi"
"116",-0.183658486050175,"fac_4",8,"male","masc","voi"
"117",-0.119719008762486,"fac_4",9,"male","masc","voi"
"118",-0.158271774304399,"fac_4",10,"female","masc","voi"
"119",-0.0597366268701684,"fac_4",11,"female","masc","voi"
"120",0.0962134667011579,"fac_4",12,"female","masc","voi"
"121",0.486843464170835,"fac_4",13,"male","masc","sti"
"122",0.371694251027135,"fac_4",14,"male","masc","sti"
"123",0.0659024740436637,"fac_4",15,"male","masc","sti"
"124",0.221699883662312,"fac_4",16,"female","masc","sti"
"125",0.17697599608598,"fac_4",17,"female","masc","sti"
"126",-0.175796523236992,"fac_4",18,"female","masc","sti"
"127",0.175959968317115,"fac_4",19,"male","femi","fac"
"128",0.424947748960956,"fac_4",20,"male","femi","fac"
"129",0.0426846304897206,"fac_4",21,"male","femi","fac"
"130",0.00569585532626091,"fac_4",22,"female","femi","fac"
"131",0.384098601444611,"fac_4",23,"female","femi","fac"
"132",-0.164021929662115,"fac_4",24,"female","femi","fac"
"133",0.0499342071598963,"fac_4",25,"male","femi","voi"
"134",0.0341415989494219,"fac_4",26,"male","femi","voi"
"135",-0.216124004534987,"fac_4",27,"male","femi","voi"
"136",0.193958129075489,"fac_4",28,"female","femi","voi"
"137",0.36641142596649,"fac_4",29,"female","femi","voi"
"138",-0.168858824568873,"fac_4",30,"female","femi","voi"
"139",0.204692021360392,"fac_4",31,"male","femi","sti"
"140",0.0207836854562817,"fac_4",32,"male","femi","sti"
"141",0.357334883330946,"fac_4",33,"male","femi","sti"
"142",0.0384983662939463,"fac_4",34,"female","femi","sti"
"143",-0.0444115740397856,"fac_4",35,"female","femi","sti"
"144",0.187127355006091,"fac_4",36,"female","femi","sti"
"145",0.435708628677812,"fac_5",1,"male","masc","fac"
"146",0.153889980490981,"fac_5",2,"male","masc","fac"
"147",0.0468498070941202,"fac_5",3,"male","masc","fac"
"148",-0.00545993511506242,"fac_5",4,"female","masc","fac"
"149",0.037677951302183,"fac_5",5,"female","masc","fac"
"150",0.322824538712561,"fac_5",6,"female","masc","fac"
"151",0.105096453321116,"fac_5",7,"male","masc","voi"
"152",-0.300413930333236,"fac_5",8,"male","masc","voi"
"153",-0.0189124536440844,"fac_5",9,"male","masc","voi"
"154",-0.244080719811115,"fac_5",10,"female","masc","voi"
"155",-0.11085842608297,"fac_5",11,"female","masc","voi"
"156",-0.0278695202982627,"fac_5",12,"female","masc","voi"
"157",0.184866630974976,"fac_5",13,"male","masc","sti"
"158",0.410636971995752,"fac_5",14,"male","masc","sti"
"159",0.12273946300163,"fac_5",15,"male","masc","sti"
"160",-0.0279979485301142,"fac_5",16,"female","masc","sti"
"161",0.411775664468567,"fac_5",17,"female","masc","sti"
"162",-0.0145146435753845,"fac_5",18,"female","masc","sti"
"163",0.287186345188526,"fac_5",19,"male","femi","fac"
"164",0.623328295726036,"fac_5",20,"male","femi","fac"
"165",0.318654474644104,"fac_5",21,"male","femi","fac"
"166",-0.0273232858234684,"fac_5",22,"female","femi","fac"
"167",0.701762506448603,"fac_5",23,"female","femi","fac"
"168",-0.0645626088348674,"fac_5",24,"female","femi","fac"
"169",0.132989099391807,"fac_5",25,"male","femi","voi"
"170",0.190310442963893,"fac_5",26,"male","femi","voi"
"171",4.57104657365633e-05,"fac_5",27,"male","femi","voi"
"172",0.210418640890647,"fac_5",28,"female","femi","voi"
"173",0.297525599807415,"fac_5",29,"female","femi","voi"
"174",-0.299636723884472,"fac_5",30,"female","femi","voi"
"175",0.347961817331855,"fac_5",31,"male","femi","sti"
"176",-0.126201635267132,"fac_5",32,"male","femi","sti"
"177",0.219274531582928,"fac_5",33,"male","femi","sti"
"178",-0.0197135103042766,"fac_5",34,"female","femi","sti"
"179",0.241014918247267,"fac_5",35,"female","femi","sti"
"180",0.20208584118129,"fac_5",36,"female","femi","sti"
"181",0.203430977156206,"fac_6",1,"male","masc","fac"
"182",0.11666221245654,"fac_6",2,"male","masc","fac"
