Resp	V1	V2	A1	A2
0	17	3	1	1
1	17	14	5	6
0	10	10	16	5
0	9	4	7	3
1	3	6	11	18
1	1	17	10	16
0	9	14	11	3
1	2	10	7	3
1	12	16	16	4
1	4	10	4	9
1	6	7	15	16
0	16	7	5	8
1	6	3	8	9
0	6	7	16	1
0	1	3	17	14
1	1	13	8	8
0	14	3	8	6
1	10	15	14	17
0	15	1	11	10
1	2	16	2	6
1	8	18	7	8
1	3	10	12	13
0	18	9	8	9
1	2	12	5	3
1	15	16	6	15
0	7	16	14	5
1	3	9	16	14
0	14	2	11	15
0	18	17	17	7
0	12	10	9	1
0	9	8	18	2
0	6	2	7	2
1	17	18	2	11
0	14	18	18	14
0	9	3	9	8
1	18	9	2	18
0	1	8	18	17
1	5	3	8	13
1	4	12	12	19
1	4	3	15	14
1	11	12	10	17
0	16	16	6	1
0	10	2	4	10
1	14	14	9	17
0	5	10	5	5
1	6	14	9	4
0	17	9	2	1
0	14	9	13	15
0	13	8	19	7
1	1	11	12	16
0	12	11	6	1
1	1	17	19	10
0	7	16	15	2
0	16	10	1	7
1	11	17	3	16
0	3	1	19	4
1	13	17	9	14
1	7	12	4	12
0	4	2	8	2
0	17	4	5	8
1	11	13	2	9
0	13	3	19	2
0	11	4	10	3
0	2	5	9	6
1	4	18	7	7
1	14	13	6	9
1	5	11	10	9
0	13	10	7	6
1	11	18	12	16
1	1	9	11	14
1	4	10	14	12
0	11	18	17	1
0	11	1	13	5
0	4	4	15	6
0	13	10	11	3
0	14	5	12	2
0	2	12	16	1
1	7	7	3	6
0	14	10	12	1
1	8	7	5	18
0	13	6	6	1
1	17	16	18	15
0	14	2	18	14
0	15	9	14	4
0	2	3	2	3
0	10	8	3	1
1	12	16	18	19
0	10	13	11	10
0	13	15	16	2
0	17	10	15	2
1	7	18	15	15
1	8	4	7	10
1	18	17	1	15
1	5	17	2	8
0	16	3	3	16
1	7	18	19	10
0	14	1	16	10
0	17	4	2	8
1	12	12	1	10
0	12	8	6	11
0	5	9	19	3
1	11	10	16	16
0	14	5	7	11
0	18	6	11	18
0	3	6	15	9
0	15	10	13	14
0	5	8	19	18
1	9	6	7	19
1	3	3	7	13
0	17	11	15	6
0	7	8	10	8
0	18	12	9	11
0	12	6	18	9
0	17	8	7	10
0	9	7	18	1
0	8	6	11	6
1	4	17	10	2
1	8	10	6	6
0	4	2	11	8
0	13	18	17	3
1	4	17	8	18
1	3	5	19	17
1	1	12	17	19
0	5	7	7	9
1	13	17	17	16
1	1	13	3	14
0	10	9	16	1
0	17	3	17	8
0	8	3	19	14
1	7	4	10	12
1	10	7	11	17
1	12	3	4	18
1	2	18	1	18
0	8	1	10	4
1	4	7	12	16
1	16	18	6	6
0	14	1	18	13
1	9	14	5	1
0	14	18	17	13
0	10	9	10	2
0	17	18	15	10
0	13	12	12	7
1	4	15	3	11
1	1	16	2	18
1	18	15	1	4
0	18	15	13	5
0	10	8	9	4
0	17	5	16	14
0	4	11	19	8
1	4	14	8	12
1	8	3	1	6
0	10	16	10	7
1	4	11	14	16
1	6	1	12	18
1	8	5	4	19
1	6	15	2	2
0	5	1	8	1
1	9	16	10	15
1	5	14	12	11
1	6	15	4	3
1	1	10	2	12
1	1	5	7	15
0	5	18	19	7
0	6	10	19	4
0	14	5	14	11
1	10	8	3	18
1	12	17	17	19
0	3	13	18	5
1	14	1	9	17
1	14	4	8	18
1	11	11	9	12
0	15	10	11	10
