Resp	V1	V2	A1	A2
1	6	3	19	1
0	5	13	11	14
0	6	13	2	18
1	16	8	4	13
0	6	1	5	9
0	9	8	7	9
1	18	9	16	6
1	15	10	12	6
1	11	6	13	3
0	5	3	7	16
0	8	5	12	15
1	10	2	10	10
0	4	10	5	15
1	7	2	19	14
1	4	4	12	7
1	18	7	14	8
0	1	15	3	10
1	12	5	5	3
1	16	4	10	7
0	3	9	13	19
0	3	13	10	15
1	13	15	17	3
0	5	1	3	9
1	10	7	19	3
1	1	4	5	2
0	17	12	4	17
1	13	5	16	18
1	12	1	11	9
0	17	11	2	15
1	10	8	19	1
0	11	17	10	11
1	10	12	13	7
0	1	18	16	11
1	13	8	16	9
0	1	6	6	10
1	15	5	5	3
1	14	12	18	8
1	3	5	6	6
1	12	1	17	15
1	1	7	18	6
0	7	14	19	6
0	3	17	15	19
1	15	8	19	3
1	11	9	16	7
1	8	1	4	2
0	3	18	10	13
1	10	9	18	6
0	3	7	5	16
0	1	17	7	10
0	6	11	10	3
0	15	13	5	14
0	17	15	10	15
1	16	5	5	19
1	12	15	3	10
1	18	1	8	16
1	2	2	16	3
0	3	15	1	14
1	17	6	4	4
1	12	4	12	18
0	8	16	4	2
0	14	17	12	12
1	10	2	7	12
0	1	1	15	19
1	16	12	17	9
1	14	8	5	11
1	13	10	8	19
0	2	13	4	1
1	11	2	11	12
1	17	4	9	15
0	1	12	13	10
1	17	12	7	7
0	7	16	12	15
1	9	7	1	12
0	9	17	7	16
1	15	5	8	5
0	3	1	15	12
1	12	8	14	19
1	10	2	10	7
1	13	10	10	6
1	15	3	15	18
0	10	11	2	6
0	5	14	14	14
0	3	2	5	12
0	3	4	11	16
1	13	11	9	11
1	18	16	12	7
0	2	10	4	16
0	11	3	14	16
1	5	1	19	7
0	5	4	12	14
0	9	12	14	1
1	14	6	1	9
0	15	15	3	19
1	17	17	11	2
1	9	5	18	17
1	17	1	1	13
0	3	5	5	11
1	14	4	16	2
0	1	18	1	14
0	3	2	15	18
0	9	13	11	2
0	2	17	10	12
1	13	13	19	1
1	12	9	11	6
0	4	9	12	9
0	6	9	13	10
0	8	16	6	6
0	11	18	10	8
1	10	15	5	1
0	18	18	9	6
1	10	14	19	3
0	2	11	6	9
1	13	5	4	10
1	15	2	3	6
1	9	5	11	1
0	7	10	16	12
0	11	17	16	18
0	4	11	7	18
0	12	16	11	19
1	5	2	5	2
1	1	8	13	5
1	18	6	14	3
0	3	17	5	13
0	6	15	17	10
1	13	12	11	7
0	2	18	11	14
0	2	1	6	9
0	7	17	13	1
0	9	4	5	10
0	5	1	1	3
0	4	11	17	9
1	13	8	17	10
0	4	13	6	15
0	1	11	17	13
0	11	14	3	3
1	17	3	18	13
1	17	4	3	5
1	18	17	4	1
0	8	9	15	8
0	1	6	2	11
1	13	12	19	8
0	4	5	5	6
1	11	3	7	1
0	8	12	3	10
0	7	10	7	8
0	7	5	2	19
1	17	13	11	8
1	14	2	18	11
0	9	5	1	18
0	15	14	5	4
1	6	11	9	2
1	17	9	8	17
1	14	6	12	19
1	17	7	3	11
0	4	17	2	12
1	17	5	18	14
0	5	1	7	16
1	17	11	17	10
0	13	18	19	7
1	14	10	2	13
1	16	6	6	3
0	9	1	4	8
1	16	14	13	4
1	14	7	1	10
1	17	1	16	9
1	12	13	13	2
1	16	10	2	16
1	9	11	8	4
0	5	18	10	17
1	12	7	19	14
0	1	3	1	10
0	3	15	2	15
0	7	16	15	17
1	16	5	15	15
0	11	12	6	14
0	3	15	10	6
0	1	9	16	13
1	8	3	12	10
0	2	17	16	19
0	10	16	13	9
1	13	4	12	6
1	10	9	9	9
1	10	9	16	2
0	3	16	1	6
1	16	15	17	16
0	7	12	18	18
1	17	6	17	16
0	8	14	3	7
1	9	10	3	4
1	12	2	19	19
1	12	10	6	11
1	10	5	14	3
1	9	14	13	4
1	11	1	19	14
1	16	14	6	14
0	10	14	4	11
0	12	15	6	19
1	3	2	13	1
1	11	11	18	16
0	7	13	5	13
0	7	11	10	7
0	2	5	16	15
0	15	18	10	16
1	9	5	11	12
0	11	9	17	18
1	12	3	17	11
0	7	14	14	7
1	5	2	10	1
1	16	12	16	13
1	11	12	13	8
1	18	7	5	5
0	1	18	6	8
1	16	5	13	13
1	6	9	15	6
1	17	9	17	10
1	14	12	6	6
1	5	8	18	3
0	6	12	6	1
0	7	17	14	5
1	8	2	9	9
0	13	15	2	13
1	8	6	18	3
1	17	1	5	11
1	4	3	14	4
1	18	11	5	18
1	16	14	13	3
1	18	10	14	5
0	7	13	19	3
0	5	17	17	10
1	14	17	11	7
0	3	16	10	14
0	13	10	6	14
1	16	9	7	8
1	15	12	8	4
1	15	9	2	12
0	8	10	15	16
1	14	11	17	3
0	2	11	18	7
0	8	11	13	19
1	4	3	17	12
0	6	1	6	14
1	14	3	1	16
0	3	16	2	6
1	17	6	3	16
0	7	6	1	11
0	3	10	2	4
1	16	2	17	2
0	11	4	11	16
0	7	9	9	16
0	2	13	7	7
1	13	7	3	4
0	9	10	6	9
1	17	3	8	13
0	13	12	4	12
1	18	9	4	2
0	5	6	4	11
0	7	18	12	3
0	1	13	11	1
0	11	16	4	18
1	12	8	4	9
1	18	14	9	8
1	16	8	17	1
0	13	15	14	3
1	8	8	13	8
0	5	17	19	11
1	15	10	10	14
1	17	1	7	11
1	14	2	6	1
0	2	9	11	12
1	17	18	9	2
1	15	5	3	3
1	18	18	17	1
0	6	18	1	4
1	17	4	18	10
0	4	16	7	9
1	16	10	1	19
0	11	16	3	3
0	16	13	12	19
1	2	9	18	1
1	9	8	14	8
1	14	18	17	6
1	18	8	12	7
0	10	18	8	3
0	13	12	7	14
0	3	15	19	12
0	9	17	16	6
0	1	7	3	18
1	16	9	6	10
0	17	18	1	17
0	6	17	1	17
1	16	5	6	14
0	4	7	11	16
1	15	12	18	4
1	16	13	8	1
1	9	8	15	8
1	18	5	19	19
1	11	8	6	7
0	6	17	8	10
1	14	8	13	6
1	12	13	1	4
