Resp	V1	V2	A1	A2
1	13	7	19	9
1	12	4	15	11
0	3	16	1	19
0	16	4	16	18
1	10	8	8	3
0	3	13	4	18
1	9	18	13	2
0	3	15	11	17
1	12	7	13	12
0	2	2	10	16
0	15	2	17	13
0	10	6	11	14
1	8	10	4	1
0	16	6	7	19
1	1	12	5	2
0	9	10	9	17
0	12	2	5	12
1	1	10	1	4
1	7	5	11	5
1	7	16	15	5
0	4	1	7	17
0	16	14	5	8
0	18	10	13	17
1	18	16	14	16
1	5	15	19	11
0	13	3	13	16
1	5	8	5	2
1	4	9	11	2
0	9	8	2	19
1	14	10	15	2
0	8	17	4	17
0	8	13	7	14
1	5	12	10	1
0	10	11	6	17
0	4	5	14	13
1	10	2	10	8
1	13	10	5	7
0	4	18	12	5
1	13	18	19	5
1	11	15	7	4
1	11	11	4	2
1	2	5	16	8
1	3	9	5	8
1	17	6	17	1
1	14	15	13	10
0	3	12	8	19
1	14	3	5	1
1	17	11	17	13
1	10	9	13	1
1	13	17	13	3
0	12	2	5	19
0	3	16	10	12
0	16	1	9	9
1	10	3	9	6
1	11	8	7	2
1	18	5	4	1
0	6	2	14	19
0	10	10	2	9
1	2	10	14	8
1	12	8	2	17
1	6	17	14	7
0	10	11	7	16
1	6	18	7	5
1	5	3	10	3
1	16	12	14	11
0	3	5	12	12
0	3	13	14	14
1	13	7	19	12
1	18	17	10	6
1	13	9	7	1
0	6	5	11	17
0	8	11	8	11
1	12	18	15	10
1	5	10	12	11
1	1	13	17	7
1	2	18	19	12
1	8	18	16	12
0	12	5	5	17
0	6	15	18	18
1	8	6	19	9
1	13	16	14	6
1	8	13	17	1
0	13	3	4	17
1	12	7	5	2
1	18	6	12	8
0	12	13	12	12
1	1	11	14	12
1	14	3	9	15
1	13	8	14	6
1	3	4	10	2
1	16	12	2	3
1	6	8	6	4
1	14	16	7	8
1	5	14	9	14
0	2	8	11	15
0	5	1	16	15
0	14	3	15	18
0	18	1	12	12
0	12	2	2	15
1	8	4	8	4
1	17	11	18	8
1	1	17	11	12
1	10	16	18	11
1	12	1	3	6
1	4	15	18	10
1	14	13	11	2
0	15	9	1	18
1	6	13	1	7
1	15	17	6	2
1	14	7	7	4
0	8	2	9	13
1	4	9	11	3
1	15	12	1	8
1	11	15	17	15
1	16	15	9	7
1	8	12	3	13
0	12	18	13	15
1	18	6	12	9
1	12	6	3	3
0	2	3	5	18
0	14	11	16	18
1	9	2	14	5
1	16	6	16	1
1	17	4	10	11
1	8	15	17	4
1	13	8	15	6
0	11	8	3	14
1	4	3	11	1
1	3	5	17	5
1	7	3	18	7
0	13	13	5	17
1	14	6	17	18
0	4	17	3	17
1	6	14	4	2
1	8	7	14	1
0	5	15	11	3
0	8	10	8	11
0	13	15	2	3
0	13	1	7	10
0	18	9	2	8
1	7	1	19	17
0	14	14	12	19
1	8	1	13	3
0	11	13	1	19
0	3	2	11	16
1	15	8	4	3
1	11	5	10	8
1	15	1	16	6
0	3	7	13	14
0	6	8	8	19
0	13	13	16	15
0	10	18	6	19
1	13	10	6	12
1	4	17	12	15
0	2	13	5	18
0	9	13	1	8
1	10	13	8	10
1	17	10	19	12
1	4	17	17	6
1	11	13	12	4
0	8	4	15	12
0	13	11	2	11
0	7	17	17	9
1	2	9	6	9
1	1	15	17	15
0	4	9	7	19
1	10	5	1	3
0	4	12	15	9
1	17	5	3	4
0	8	7	3	4
0	15	17	11	15
1	16	16	3	2
0	9	1	11	14
0	1	4	2	14
1	13	2	15	4
1	1	9	13	2
0	13	3	10	19
1	12	8	2	15
0	7	15	3	12
1	5	18	15	4
1	4	7	4	8
1	2	11	6	9
1	11	6	9	9
0	18	7	9	15
0	17	1	1	19
0	13	3	5	11
1	16	9	14	8
0	2	13	9	16
0	1	15	12	5
1	3	16	10	1
1	18	1	2	10
0	12	3	6	14
0	8	1	8	19
1	11	8	19	9
1	1	3	13	8
1	10	8	11	5
0	6	15	3	16
1	6	3	18	13
1	15	3	13	11
1	13	6	6	2
1	5	16	10	10
0	3	12	10	16
0	9	15	2	10
1	10	6	16	15
1	5	8	7	6
0	11	18	13	19
0	17	2	1	9
0	12	10	14	19
1	4	13	15	7
1	6	11	9	6
1	5	15	19	16
1	11	16	16	10
1	6	5	15	18
0	4	16	8	10
1	10	18	18	8
1	14	13	14	12
1	12	10	3	1
1	15	13	18	13
1	12	17	3	4
1	12	18	10	18
1	13	6	10	1
1	11	13	18	12
1	6	3	18	3
0	7	3	6	16
0	16	3	7	1
1	14	11	11	3
0	14	4	14	12
1	15	8	10	1
0	16	11	2	9
0	8	17	1	13
1	18	14	12	2
1	2	12	15	10
1	14	10	10	6
0	12	4	13	18
0	14	2	8	13
1	6	3	19	11
1	1	8	2	3
1	12	9	3	4
0	13	7	14	13
0	13	18	15	17
0	11	12	11	15
1	9	11	13	9
1	10	18	10	10
0	11	7	13	14
0	10	9	4	14
1	12	7	5	9
1	9	17	3	2
1	12	15	12	10
1	11	4	16	13
1	14	4	6	9
0	14	15	4	13
1	13	17	6	7
0	5	9	4	13
1	15	18	6	10
1	5	12	3	7
0	13	17	8	16
0	4	5	6	19
0	9	16	10	12
1	8	17	9	3
1	11	17	16	7
1	15	4	18	14
0	1	4	10	12
1	1	17	3	3
0	2	17	8	12
0	11	1	8	14
1	17	15	6	11
1	6	12	19	14
1	4	9	16	5
0	1	2	2	14
1	2	5	6	2
1	18	11	16	10
1	3	11	19	2
0	18	12	7	13
1	8	4	17	7
1	10	1	19	1
0	18	3	7	10
1	12	15	18	16
1	11	16	16	1
1	12	13	19	5
0	3	8	2	18
1	11	10	17	11
0	10	11	8	16
1	6	3	13	10
0	1	6	10	16
1	3	8	5	1
1	11	9	19	13
0	14	15	4	8
1	17	12	14	3
0	16	2	4	13
1	9	7	10	8
0	6	2	17	14
1	1	17	18	16
1	11	9	12	14
0	13	10	18	16
1	10	6	13	6
1	11	1	8	4
1	5	1	7	6
1	8	17	12	2
0	2	9	15	15
0	2	17	7	9
