Resp	V1	V2	A1	A2
0	11	8	12	8
0	9	8	14	12
1	9	2	17	19
1	14	11	4	18
1	6	16	11	17
1	3	3	5	6
0	14	1	10	1
0	6	9	6	8
0	17	11	1	13
0	4	2	16	9
0	14	11	7	7
0	14	13	17	18
0	5	11	15	9
1	2	18	12	1
0	11	6	8	14
1	13	8	5	19
1	6	9	1	15
0	10	2	18	10
0	6	9	14	8
1	5	2	15	17
0	2	9	17	14
0	16	8	3	16
0	15	7	19	12
0	4	7	6	8
1	5	13	7	12
0	15	4	17	11
0	10	10	5	15
1	16	9	4	18
0	10	11	19	11
0	18	14	13	14
0	1	2	8	9
1	7	1	4	13
1	1	15	4	18
0	13	15	1	11
0	3	10	10	3
1	16	1	12	16
0	17	11	19	10
0	6	8	19	13
1	12	3	14	19
1	17	10	4	9
1	13	3	4	15
0	6	1	9	1
1	12	9	10	14
1	8	4	7	18
0	13	11	2	4
1	16	1	6	19
1	5	17	2	17
1	6	1	7	13
0	18	6	3	9
1	8	17	14	1
0	9	10	15	3
0	6	3	16	12
1	5	8	6	17
0	16	11	19	1
1	14	18	13	19
0	9	5	4	8
1	5	8	12	16
0	6	8	6	9
0	1	11	11	1
0	4	11	1	9
0	16	10	5	13
0	14	10	10	10
0	4	12	15	5
1	14	9	3	11
0	7	4	15	14
0	14	12	3	13
0	15	8	19	5
1	9	9	4	19
0	18	14	5	9
1	9	17	10	7
0	18	8	16	6
0	4	6	10	5
0	13	11	6	10
0	1	10	17	16
0	13	14	11	9
0	9	7	13	11
1	8	17	13	16
0	11	4	13	8
1	14	2	9	15
0	5	18	19	9
0	4	3	8	6
0	1	7	5	7
0	18	5	3	1
0	15	12	19	11
0	7	1	4	5
0	16	3	13	4
1	12	9	2	17
0	13	9	2	1
1	13	18	8	10
0	3	1	4	2
0	9	11	8	5
1	13	4	5	15
0	18	8	11	3
0	7	12	19	4
1	11	11	2	18
0	8	6	9	11
1	4	7	7	15
0	11	3	18	13
0	16	6	16	2
1	6	5	16	15
1	5	14	17	16
0	15	2	4	8
0	14	13	16	8
0	13	4	5	4
0	10	8	15	3
0	16	5	18	10
1	2	15	9	14
0	16	8	15	17
0	15	4	18	3
1	13	18	9	3
0	12	1	18	7
0	6	7	10	2
1	9	16	11	9
1	2	16	10	3
0	16	15	19	18
0	6	14	17	6
0	14	15	19	18
0	13	16	17	1
0	9	4	2	5
1	7	18	6	4
0	2	10	18	1
0	13	5	14	15
1	7	12	8	9
1	9	18	12	13
0	18	13	9	2
1	3	13	8	14
0	13	9	9	9
0	13	7	18	3
1	5	5	11	17
0	14	11	12	16
0	9	7	6	2
0	7	12	8	16
1	6	14	9	19
0	16	14	15	2
1	11	13	11	18
0	18	2	17	4
1	8	5	4	14
0	13	15	12	4
1	4	1	12	18
1	1	2	10	17
0	14	17	4	10
1	14	16	17	9
0	17	3	12	13
1	14	18	1	6
0	17	13	7	1
1	1	7	19	19
0	11	8	18	16
1	6	11	17	17
1	9	16	17	9
0	15	3	13	4
0	11	11	12	16
0	18	3	12	11
0	18	10	12	9
1	13	18	16	2
0	6	2	11	9
1	2	12	6	19
1	5	16	14	3
0	1	3	19	8
0	10	1	18	14
1	8	7	3	18
1	12	14	4	10
1	5	13	11	8
0	16	14	3	8
1	3	4	5	14
0	3	2	13	8
0	14	2	15	3
1	8	13	3	11
1	9	5	7	16
0	7	6	14	6
1	7	5	7	15
1	2	15	17	15
1	17	14	16	19
0	13	4	16	2
0	16	12	3	14
0	14	12	19	3
0	18	2	16	2
0	7	6	3	7
0	8	11	19	11
0	14	18	12	14
0	18	8	2	1
1	8	11	4	13
0	14	11	19	4
1	2	18	11	8
0	15	16	10	5
0	7	12	8	14
1	9	13	14	17
1	9	16	5	17
0	13	15	18	15
1	13	14	10	13
1	5	4	9	9
0	11	12	18	6
1	14	18	3	6
1	4	17	6	7
1	5	1	7	11
0	14	4	4	1
0	5	7	19	3
1	12	18	2	17
1	2	13	3	5
1	6	16	3	18
0	10	2	17	11
