Resp	V1	V2	A1	A2
0	15	18	3	2
1	6	1	14	18
1	15	7	1	16
0	6	14	8	17
0	14	18	6	4
0	5	16	13	6
0	7	15	18	14
1	13	1	16	15
0	15	10	7	15
0	9	18	17	1
0	11	18	5	9
1	7	5	17	7
0	11	10	16	17
1	16	1	3	1
0	1	3	7	13
0	4	9	18	13
0	8	14	10	3
1	11	8	5	7
1	15	1	12	19
0	11	17	19	5
0	10	18	6	1
0	11	15	4	10
1	18	4	8	6
1	12	2	9	5
1	17	7	16	5
1	10	1	7	12
1	18	10	15	6
1	18	11	2	8
1	9	3	9	5
0	1	10	4	3
1	17	1	1	14
1	18	11	6	4
1	1	1	16	4
1	10	11	3	1
0	3	13	19	13
1	16	10	18	3
1	9	5	7	13
0	12	18	11	4
1	5	9	19	2
1	3	3	18	3
0	18	18	8	18
1	15	2	11	10
0	1	17	19	2
1	8	17	3	17
1	6	10	8	1
0	7	11	17	17
0	13	14	5	16
1	12	2	7	16
1	3	9	7	6
0	4	14	13	12
1	10	4	15	17
0	3	5	7	13
0	8	10	19	19
0	6	10	4	16
1	18	9	19	19
0	10	15	11	19
1	13	8	19	5
1	6	1	16	4
0	12	17	11	17
1	9	6	11	19
1	8	1	14	14
0	2	9	16	1
1	18	7	8	16
1	16	13	13	2
1	14	3	7	7
0	14	14	19	10
0	9	3	9	18
1	13	1	17	16
0	3	6	8	13
1	15	9	12	17
1	17	6	17	14
1	10	8	14	11
1	17	14	16	11
1	13	12	17	7
1	13	16	6	6
0	6	18	13	11
1	10	5	9	19
0	1	18	2	6
1	18	1	7	7
1	18	1	16	5
0	10	15	14	6
1	16	8	11	6
0	12	18	8	12
1	16	6	18	12
1	15	11	17	4
0	2	10	16	8
0	4	18	17	5
0	8	13	8	9
1	12	7	1	7
1	4	11	19	7
1	2	5	2	4
1	10	5	1	19
0	2	16	7	15
0	6	15	7	10
1	11	9	7	7
1	17	9	4	16
0	12	15	10	19
1	12	9	2	16
1	13	1	11	15
0	6	5	7	12
0	5	13	4	7
1	1	11	12	8
1	16	9	12	10
0	9	1	12	2
0	2	13	9	4
0	2	5	17	8
1	10	4	17	6
1	5	1	15	3
0	9	13	16	13
0	4	18	9	17
0	5	16	11	16
1	8	12	8	14
0	4	18	9	4
1	15	4	5	17
0	11	9	17	15
0	6	14	9	16
1	11	1	7	17
1	12	4	15	5
0	11	17	8	1
1	14	5	10	14
0	10	14	9	14
0	16	15	6	15
1	15	8	14	18
1	11	9	9	5
1	1	4	4	12
1	11	1	2	11
0	17	13	19	11
0	12	17	9	2
1	5	8	7	2
0	7	18	2	7
1	5	1	9	8
1	16	12	18	15
0	9	13	8	19
1	1	1	9	12
1	18	2	18	10
1	6	8	5	11
1	14	17	7	6
1	3	8	11	6
0	10	4	13	18
1	1	9	19	11
